circRNA	pig-testis-Testis-31	pig-testis-Testis-73	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	pig-testis-Testis-54	pig-liver-old-2	pig-testis-Testis-05	pig-testis-Testis-65	pig-testis-Testis-16	pig-liver-young-2
10:20060943-20078273:-	20	0	0	0	0	9	0	13	6	0	0
10:20065004-20073030:-	23	0	0	0	6	16	0	10	7	0	0
10:20065004-20078273:-	10	7	0	0	11	13	0	6	0	9	0
10:20178562-20179144:+	19	0	0	0	0	0	0	0	0	0	0
10:20423358-20429869:-	6	0	0	0	0	0	0	0	0	0	0
10:20423358-20438201:-	27	6	0	0	8	0	0	10	0	0	0
10:20423358-20455885:-	15	0	0	6	0	11	0	0	0	0	0
10:20423358-20481282:-	9	0	0	0	0	0	0	7	0	0	0
10:20423358-20487072:-	10	0	0	0	0	0	0	6	0	0	0
10:20423358-20492105:-	16	0	0	13	0	17	7	13	12	0	0
10:20428974-20492105:-	6	0	0	0	0	0	0	0	0	0	0
10:20438110-20469728:-	6	0	0	0	0	0	0	0	0	0	0
10:20438110-20481282:-	139	18	0	0	27	31	0	36	18	25	0
10:20438110-20487072:-	22	0	0	0	0	6	0	0	0	0	0
10:20438110-20492105:-	47	9	0	0	10	12	0	0	9	8	0
10:20455783-20481282:-	62	7	0	0	0	7	0	6	0	6	0
10:20455783-20487072:-	54	7	0	0	7	9	0	12	0	0	0
10:20455783-20492105:-	45	11	0	16	8	28	0	14	0	12	0
10:20469602-20487072:-	16	0	0	0	0	0	0	0	0	0	0
10:20469602-20492105:-	112	10	0	9	23	36	23	26	7	8	0
10:20481180-20492105:-	7	0	0	0	0	0	0	0	0	0	0
10:20508014-20536074:-	22	0	0	0	0	0	0	0	0	0	0
10:22742780-22748221:+	0	0	0	16	0	0	0	0	0	0	0
10:23147935-23150324:-	12	0	0	0	0	0	0	0	0	0	0
10:23167793-23172062:-	17	0	0	0	0	0	0	0	0	0	0
10:23289743-23290003:+	22	0	0	0	0	0	0	7	0	0	0
10:23424597-23430986:+	7	0	0	0	0	0	0	0	0	0	0
10:24014298-24018647:+	7	0	0	0	0	0	0	0	0	0	0
10:24129788-24133305:+	28	7	0	0	0	7	0	0	6	0	27
10:24743012-24779098:-	0	0	0	0	6	0	0	0	0	0	0
10:24750502-24779098:-	10	8	0	0	10	0	0	21	0	7	0
10:24751553-24779098:-	0	0	0	0	0	0	0	6	0	0	0
10:24757286-24770435:-	6	0	0	0	0	0	0	7	0	0	0
10:24757286-24779098:-	90	50	0	0	45	73	0	104	24	48	0
10:24757286-24780889:-	0	0	0	0	0	7	0	7	0	0	0
10:24757286-24799565:-	7	12	0	0	11	16	0	22	12	8	0
10:24760508-24779098:-	137	65	0	0	48	62	0	107	31	59	0
10:24760508-24781769:-	13	0	0	0	0	0	0	0	0	0	0
10:24761061-24779098:-	9	0	0	0	6	0	0	0	0	0	0
10:24768865-24770435:-	68	11	0	0	6	11	0	25	10	9	0
10:24768865-24779098:-	240	68	0	17	36	64	0	98	11	44	0
10:24768865-24781769:-	25	10	0	11	6	10	8	10	0	0	0
10:24770315-24779098:-	805	154	0	0	139	154	0	274	61	135	0
10:24770315-24780889:-	20	6	0	0	0	6	0	10	0	0	0
10:24770315-24781769:-	109	15	0	0	19	15	0	31	20	15	0
10:24774959-24779098:-	427	54	0	0	68	79	6	90	19	65	0
10:24774959-24780889:-	9	0	0	0	0	0	0	0	0	0	0
10:24774959-24781769:-	97	24	0	0	11	25	0	30	8	11	0
10:24776755-24779098:-	200	31	0	0	20	39	0	38	13	23	0
10:24776755-24781769:-	107	13	0	0	20	20	0	22	9	19	0
10:24778939-24799565:-	0	0	0	0	8	0	0	0	0	0	0
10:24781610-24784588:-	16	0	0	0	0	6	0	0	0	0	0
10:24788310-24799565:-	105	21	0	7	13	29	0	25	13	26	0
10:24795545-24799565:-	400	58	0	6	75	59	8	82	29	64	0
10:24882634-24886140:-	9	0	0	0	0	9	0	0	0	0	0
10:24908902-24912841:-	9	0	0	0	0	0	0	0	0	0	0
10:24910300-24911744:-	0	0	0	0	0	7	0	0	0	0	0
10:24910300-24915686:-	0	0	0	0	0	0	6	0	0	0	0
10:25205439-25206443:+	29	8	89	126	17	6	93	10	0	0	90
10:25521773-25569802:+	29	6	0	0	10	6	0	13	0	6	0
10:25600745-25606516:-	0	0	11	0	0	0	10	0	0	0	0
10:25722506-25727818:+	20	0	0	0	0	0	0	0	0	0	0
10:25754104-25773920:+	6	0	0	0	0	0	0	0	0	0	0
10:26180873-26195694:-	49	19	0	0	17	0	0	24	7	8	0
10:26180873-26212860:-	8	0	0	0	0	0	9	7	0	0	0
10:26180873-26218089:-	7	8	0	0	7	0	0	0	0	7	0
10:26879611-26882056:+	6	0	0	0	0	0	0	0	0	0	0
10:26879611-26890213:+	7	0	0	0	0	0	0	0	0	0	0
10:27082081-27103419:-	0	0	0	0	0	0	0	0	0	0	23
10:27736836-27748327:-	0	0	0	23	0	0	6	0	0	0	0
10:27764784-27777737:-	0	0	0	12	0	0	0	0	0	0	0
10:29004272-29007709:+	0	0	0	0	0	0	10	0	0	0	0
10:29004272-29015131:+	0	0	0	9	0	0	7	0	0	0	0
10:29004980-29015131:+	0	0	0	0	0	6	0	0	0	0	0
10:29004980-29035802:+	0	0	0	9	0	0	0	0	0	0	0
10:29028958-29035802:+	0	0	0	17	9	0	0	0	0	0	0
10:29037749-29038934:+	392	83	68	123	44	80	60	74	40	52	74
10:29228247-29230143:-	64	8	0	0	7	14	0	24	26	13	0
10:29300931-29304243:-	31	0	0	0	0	7	0	10	6	0	0
10:29528487-29535329:+	8	0	0	0	0	0	0	0	0	0	0
10:30329692-30358589:-	8	0	0	0	0	0	0	0	0	0	0
10:31044472-31051812:+	13	8	0	0	0	7	0	8	0	11	0
10:31095688-31103898:+	8	0	0	0	0	0	0	7	0	0	0
10:31153773-31157554:+	57	12	0	0	12	14	0	21	0	13	0
10:31153773-31175932:+	0	0	0	0	0	0	0	0	0	7	0
10:31157410-31201934:+	13	0	0	0	0	9	0	0	0	9	0
10:31201781-31220915:+	12	0	0	0	0	0	0	0	0	0	0
10:31201781-31224915:+	0	6	0	0	0	6	0	0	0	7	0
10:31295416-31297552:+	35	6	0	0	6	0	0	10	0	7	0
10:31303099-31308910:+	13	0	6	0	7	6	0	8	0	0	0
10:31579271-31640807:+	0	0	0	15	0	0	0	0	0	0	0
