circRNA	pig-testis-Testis-31	pig-testis-Testis-73	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	pig-testis-Testis-54	pig-liver-old-2	pig-testis-Testis-05	pig-testis-Testis-65	pig-testis-Testis-16	pig-liver-young-2
13:121035545-121036441:-	11	0	0	0	0	0	0	0	0	0	0
13:121035545-121056354:-	6	0	0	0	0	0	0	0	0	0	0
13:121052112-121059064:-	27	7	0	0	11	9	0	9	0	9	0
13:121570081-121577363:+	17	0	0	0	0	0	0	0	0	0	0
13:121570081-121596427:+	14	0	0	0	0	0	0	8	0	10	0
13:121571993-121577363:+	22	7	0	0	0	0	0	0	0	7	0
13:121576382-121577363:+	17	0	0	0	6	0	0	6	0	0	61
13:121576382-121596427:+	14	18	0	9	6	11	0	6	8	8	0
13:121588579-121596427:+	20	0	0	0	6	0	0	7	0	0	0
13:121657052-121670622:+	7	0	0	0	0	0	0	0	0	0	0
13:121699728-121700467:+	8	0	0	0	0	0	0	0	0	0	0
13:121798855-121802974:-	0	0	6	0	0	0	9	0	0	0	0
13:121802236-121802974:-	8	0	0	0	0	0	9	0	0	0	22
13:122062381-122064608:+	11	0	0	0	0	0	0	0	0	0	0
13:122063607-122064608:+	15	0	0	0	0	0	0	0	0	0	0
13:122190539-122191051:+	18	0	0	0	0	0	0	0	0	0	28
13:122190539-122192108:+	16	0	0	0	11	11	0	15	0	13	12
13:122215894-122216680:+	0	0	0	23	0	0	0	0	0	0	0
13:122253048-122253298:+	6	0	0	0	0	0	0	0	0	0	0
13:122703174-122717863:+	7	0	0	0	0	0	0	0	0	0	0
13:122727539-122750151:+	30	10	0	0	0	12	0	0	7	21	14
13:122727539-122901594:+	0	0	0	0	0	0	0	0	0	6	0
13:122802361-122815400:+	7	0	0	0	0	0	0	0	0	0	0
13:122860724-122880911:+	6	0	0	0	0	0	0	0	0	0	0
13:123303637-123323118:+	0	0	0	0	0	0	6	0	0	0	0
13:123437549-123438399:+	49	7	0	0	19	8	0	12	7	0	0
13:123437549-123447842:+	16	0	0	0	0	0	0	6	6	0	0
13:123445564-123447842:+	32	13	0	0	0	0	0	10	0	7	0
13:123445564-123450518:+	39	16	0	0	9	13	6	23	9	20	0
13:123446425-123447842:+	8	0	0	0	0	0	0	0	0	0	0
13:123902445-123903777:-	0	0	0	0	0	0	0	8	0	0	0
13:124369571-124385164:-	0	0	0	0	0	0	0	9	0	6	0
13:124394348-124400956:+	0	0	0	0	0	0	8	0	0	0	0
13:124508948-124511537:+	0	0	0	7	0	0	0	0	0	0	0
13:124510740-124511537:+	0	0	0	27	0	0	0	0	0	0	0
13:124524483-124532562:+	0	0	0	15	0	0	8	0	0	0	0
13:124524483-124534067:+	0	0	32	16	0	0	79	0	0	0	14
13:124524483-124546019:+	0	0	0	0	0	0	0	0	0	0	15
13:124524483-124552428:+	0	0	0	0	0	0	8	0	0	0	0
13:124532389-124534067:+	0	0	8	12	0	0	17	0	0	0	0
13:124532389-124546019:+	0	0	0	0	0	0	36	0	0	0	25
13:124585385-124587249:+	0	0	0	0	0	0	6	0	0	0	0
13:124794411-124807586:+	0	0	0	0	0	0	6	0	0	0	0
13:124798431-124807586:+	0	0	9	0	0	0	0	0	0	0	0
13:12542441-12548099:-	7	0	0	0	0	0	0	0	0	0	0
13:126013635-126013836:+	21	0	0	0	0	0	0	0	0	0	0
13:126204995-126205688:+	0	0	0	11	0	0	6	0	0	0	0
13:12631991-12640189:-	0	0	0	0	8	0	0	0	0	0	0
13:127454749-127456347:-	0	0	0	7	0	0	0	0	0	0	0
13:128019113-128019399:+	0	0	0	8	0	0	0	0	0	0	0
13:128647805-128660325:+	6	0	0	0	0	0	0	0	0	0	22
13:130651628-130657123:+	9	0	0	0	0	0	0	0	0	0	0
13:131431706-131452941:-	8	7	0	0	8	8	0	11	10	8	0
13:131438785-131452941:-	0	0	0	0	0	0	0	6	0	0	0
13:131635185-131653366:-	0	0	0	0	0	0	0	7	0	0	0
13:131641551-131642260:-	6	0	0	0	6	0	0	0	0	0	0
13:132302320-132314552:-	64	8	0	0	10	15	0	11	0	17	0
13:132302320-132321130:-	0	0	0	0	0	0	0	7	0	0	0
13:132302320-132326005:-	7	0	0	0	0	0	0	0	0	0	0
13:132304896-132326005:-	7	0	0	0	0	0	0	0	0	0	0
13:132321055-132335952:-	9	0	0	0	0	0	0	0	0	0	0
13:132321055-132337788:-	15	0	0	0	0	0	0	0	6	0	0
13:132325909-132337788:-	11	0	0	0	0	0	0	0	0	0	0
13:132335768-132337788:-	9	0	0	0	0	0	0	0	0	0	0
13:132335768-132367470:-	28	11	0	0	0	0	0	6	7	0	25
13:132335768-132377669:-	8	0	0	0	0	0	0	0	0	0	0
13:132624505-132642592:+	6	0	0	0	0	0	0	0	0	0	0
13:132837080-132837247:+	7	0	0	0	0	0	0	0	0	0	0
13:132945575-132975398:+	8	7	0	9	0	0	0	0	0	0	0
13:132971832-132975398:+	7	0	0	0	0	0	0	0	0	0	0
13:132986163-132991254:+	12	0	0	0	0	0	0	6	0	0	0
13:132986163-133007560:+	47	18	0	0	6	10	0	22	0	10	0
13:132986163-133023430:+	32	7	0	0	12	0	0	7	0	0	0
13:133023315-133040652:+	12	0	0	0	0	0	0	8	0	0	0
13:133023315-133052271:+	7	0	0	0	0	0	0	0	0	0	0
13:133033024-133052271:+	0	6	0	0	0	0	8	0	0	0	0
13:133048337-133052271:+	6	0	0	0	0	0	0	0	0	0	0
13:133225591-133229104:-	7	0	0	0	0	0	0	0	0	0	0
13:133296683-133304898:-	17	0	0	0	0	0	0	0	0	0	0
13:133296683-133305955:-	22	17	0	0	8	8	13	13	7	7	0
13:133296683-133312344:-	19	8	0	0	16	21	0	14	8	16	0
13:133302377-133304898:-	6	0	0	0	0	0	0	0	0	0	0
13:133302377-133305955:-	7	0	0	0	0	0	0	0	0	0	0
13:133302377-133312344:-	14	0	0	0	0	0	0	0	0	0	0
13:133304785-133312344:-	13	7	0	0	0	0	0	7	0	0	0
13:133308841-133312344:-	12	0	0	0	0	0	0	9	0	0	0
13:133636396-133637263:+	0	0	0	7	0	0	0	0	0	0	0
13:133636396-133640271:+	0	0	0	24	0	0	0	0	0	0	0
13:133710722-133727006:+	10	0	0	12	0	0	0	0	0	0	0
13:133715517-133727006:+	24	0	0	6	10	6	0	9	11	11	0
13:133715517-133734468:+	9	0	0	0	0	0	0	0	0	0	0
13:133734321-133738261:+	11	0	0	0	0	9	0	7	0	0	0
13:133840280-133844358:+	39	0	0	0	9	0	0	7	0	0	0
13:133840280-133846082:+	6	0	0	0	0	0	0	0	0	0	0
13:133976764-133981842:+	0	0	0	20	0	0	0	0	0	0	0
13:133994014-133995962:+	8	0	0	0	0	0	0	0	0	0	0
13:134257459-134272823:-	0	0	0	0	0	0	0	11	0	6	0
13:134308297-134309219:-	7	0	0	0	0	0	0	0	0	0	0
13:134368709-134384091:+	15	0	0	0	0	0	0	0	0	0	0
13:134379235-134396257:+	0	0	0	0	0	6	0	0	0	0	0
13:134457402-134471156:+	15	0	0	0	0	0	0	0	0	0	0
13:134463715-134471156:+	13	0	0	0	0	0	0	0	0	0	0
13:134481485-134491192:+	8	0	0	0	0	0	0	8	0	0	0
13:134510146-134527329:+	10	0	0	0	0	0	0	0	0	0	0
13:134515276-134527329:+	9	0	0	0	0	0	0	0	0	0	0
13:134558120-134559777:-	16	6	0	0	6	0	0	14	0	0	0
13:134558120-134573675:-	8	0	0	0	6	0	0	19	0	6	0
13:134558120-134576737:-	8	0	0	0	0	0	0	7	0	10	0
13:134558120-134584081:-	11	0	0	0	0	0	0	0	0	0	0
13:134558120-134585167:-	0	0	0	0	0	6	0	6	0	0	0
13:134570764-134584081:-	10	0	0	0	0	0	0	0	0	0	0
13:134570764-134585167:-	0	0	0	0	0	0	0	8	0	0	0
13:134616260-134633963:+	7	0	0	0	0	0	0	0	0	0	0
13:134619682-134633963:+	0	0	0	0	0	0	0	0	0	0	17
13:134624945-134633963:+	66	15	0	0	17	15	0	24	12	17	0
13:134626465-134633963:+	37	12	0	0	9	9	0	15	8	15	0
13:134737385-134748142:+	15	0	0	0	0	0	0	0	0	0	0
13:134744257-134745388:+	19	0	0	0	0	0	0	0	0	6	0
13:134744257-134748142:+	32	14	0	0	8	0	0	17	9	0	13
13:134756410-134769304:+	13	0	0	0	0	0	0	0	0	0	0
13:134776083-134778792:+	15	0	0	0	0	0	0	0	0	0	0
13:134838955-134843425:+	9	0	0	0	0	0	0	0	0	0	0
13:134838955-134857989:+	13	0	0	0	0	0	0	0	0	0	0
13:134852518-134881439:+	22	0	0	0	0	0	0	9	0	0	0
13:134998505-135020313:+	103	28	13	40	15	24	35	34	22	21	62
13:134998505-135050353:+	0	0	0	0	0	0	6	10	0	0	0
13:1351116-1385608:-	9	0	0	0	0	0	0	0	0	0	0
13:135478125-135500615:+	0	0	0	7	0	0	0	0	0	0	0
13:135695803-135739109:-	0	0	13	0	0	0	21	0	0	0	0
13:135702506-135702745:-	0	0	0	0	0	0	13	0	0	0	0
13:135711865-135716924:-	10	0	0	0	0	0	0	0	0	0	0
13:135713628-135739109:-	0	0	0	9	0	0	50	0	0	0	52
13:135721916-135739109:-	0	0	16	0	0	0	35	0	0	0	28
13:135733010-135739109:-	0	0	0	0	0	0	7	0	0	0	0
13:135736997-135739109:-	0	0	46	35	0	0	108	0	0	0	78
13:136447199-136448423:+	54	10	0	0	0	0	0	16	0	0	0
13:136447199-136457875:+	12	0	0	0	0	0	0	6	0	0	0
13:136447199-136479233:+	0	0	0	0	0	0	0	0	0	6	0
13:136476437-136492651:+	0	0	0	0	0	0	0	13	9	15	0
13:136478805-136479233:+	8	0	0	0	0	0	0	0	0	0	0
13:137185109-137226265:-	22	7	0	0	0	0	0	8	11	6	8
13:137185109-137240863:-	12	9	0	8	7	0	0	0	0	0	0
13:137195359-137240863:-	35	0	0	0	0	7	0	13	0	0	0
13:137224795-137240863:-	22	0	0	0	6	0	0	0	0	0	0
13:137336048-137342929:-	0	0	0	0	0	0	6	0	0	0	0
13:137373442-137376721:-	16	0	0	12	0	6	0	14	6	0	0
13:138045082-138070357:+	6	0	0	0	0	0	0	0	0	0	0
13:138081343-138085737:+	8	0	0	0	0	0	0	0	0	0	0
13:138082704-138083230:+	16	0	0	0	0	0	0	0	0	0	0
13:138689543-138690047:+	7	0	0	0	0	0	0	0	0	0	0
13:138689543-138692413:+	12	0	0	0	0	0	0	6	7	0	0
13:138689543-138707281:+	14	0	0	0	0	0	0	0	0	0	0
13:138713943-138729990:+	16	0	0	0	0	6	0	0	0	8	0
13:138713943-138736983:+	9	0	0	0	0	0	0	0	8	0	0
13:138771378-138781575:+	0	0	8	0	0	0	10	6	0	0	18
13:138817189-138819104:+	0	0	0	0	0	0	8	0	0	0	0
13:13882611-13895437:-	21	0	0	0	0	0	0	0	0	0	0
13:13882611-13911780:-	8	0	0	0	0	6	0	0	0	0	0
13:138841860-138843886:+	8	0	0	0	0	0	0	0	0	0	30
13:138999093-139027119:+	6	0	0	0	0	0	0	0	0	0	0
13:139072086-139083855:+	7	0	0	0	0	0	0	0	0	0	0
13:13911329-13911780:-	7	0	0	0	0	0	0	0	0	0	0
13:139127459-139129715:-	7	0	0	0	0	0	0	0	0	0	0
13:139280456-139360522:-	6	0	0	0	0	0	0	0	0	0	0
13:139309727-139335327:-	18	0	0	0	0	0	0	0	0	0	0
13:139309727-139360522:-	10	0	0	0	0	0	0	0	0	0	0
13:139360421-139391048:-	24	0	0	0	0	10	0	7	0	0	0
13:139360421-139444124:-	8	0	0	0	0	0	0	0	0	0	0
13:13972825-13979086:-	9	0	0	0	0	0	0	6	0	0	0
13:13987175-14004211:-	7	0	0	0	0	0	0	0	0	0	0
13:140146042-140216329:+	0	0	0	0	0	0	0	0	0	0	21
13:140258656-140286985:+	7	0	0	0	0	0	0	0	0	0	0
13:140258656-140294573:+	12	0	0	0	0	0	0	6	0	0	0
13:140282901-140286985:+	57	0	0	0	8	0	0	12	0	0	0
13:140282901-140294573:+	13	0	0	0	0	0	0	0	0	0	0
13:140290846-140319624:+	9	0	0	0	0	0	0	0	0	0	0
13:140290846-140332735:+	12	0	0	0	0	0	0	0	0	0	0
13:140319528-140332735:+	10	0	0	0	0	0	0	6	0	0	0
13:140502582-140520271:-	11	0	0	0	0	0	0	0	0	0	0
13:140511412-140545977:-	10	0	0	0	0	0	0	0	0	0	0
13:140511412-140547077:-	9	0	0	0	0	0	0	0	0	0	0
13:140520089-140547077:-	8	0	0	0	0	0	0	0	0	0	0
13:140737429-140755520:-	19	0	0	0	0	0	0	0	0	0	0
13:140749899-140755520:-	8	0	0	0	0	0	0	0	0	0	0
13:140805617-140811588:+	28	7	0	0	6	8	0	0	0	0	0
13:140805617-140817139:+	53	13	7	22	22	16	19	25	0	10	0
13:141259955-141265452:+	37	0	0	0	6	12	9	10	9	0	0
13:144850864-144851195:-	9	0	0	0	0	0	0	0	0	0	0
13:145629977-145631582:+	0	11	7	11	9	17	28	22	7	16	0
13:145888936-145903705:+	7	12	0	0	16	16	0	17	7	8	0
13:145898269-145903705:+	9	0	0	0	0	0	0	0	0	7	0
13:145944590-145967306:+	0	0	0	0	0	7	0	0	0	0	0
13:145962614-145967306:+	7	0	0	0	0	0	0	8	0	0	0
13:146005475-146078858:-	0	12	0	0	7	7	0	0	0	9	0
13:146020473-146078858:-	10	0	0	0	6	6	0	8	0	0	0
13:146031595-146078858:-	10	7	0	0	0	0	0	0	0	0	0
13:146036552-146078858:-	61	19	0	0	19	19	0	21	0	11	0
13:146058077-146066269:-	19	0	0	0	0	0	0	0	0	0	0
13:146058077-146073692:-	17	0	0	0	0	0	0	6	0	0	0
13:146058077-146078858:-	466	48	0	0	63	79	0	79	32	33	0
13:146065489-146078858:-	6	0	0	0	0	0	0	0	0	0	0
13:146211072-146212596:+	12	0	0	0	0	0	0	0	0	0	0
13:1464114-1467192:-	66	8	0	0	28	14	0	12	8	13	0
13:146421222-146428798:+	61	8	0	0	10	11	0	31	15	9	0
13:146421222-146435567:+	13	6	0	0	0	0	0	6	0	0	0
13:146421222-146438569:+	16	0	0	0	0	0	0	11	0	0	0
13:146480423-146501583:+	9	0	0	0	0	0	0	0	0	0	0
13:146592252-146595915:+	12	0	0	0	0	0	0	0	0	0	0
13:146613054-146614680:+	12	0	0	0	0	0	0	0	0	0	0
13:146924090-146925837:-	8	0	0	0	0	0	0	0	0	0	0
13:147299557-147304903:+	9	0	0	0	0	0	0	0	0	0	0
13:147522797-147543498:+	10	0	0	0	0	0	0	0	0	0	0
13:147522797-147548739:+	11	0	0	0	0	0	0	0	0	0	0
13:147539590-147574197:+	6	8	0	0	0	0	0	0	0	0	0
13:147554198-147574197:+	7	0	0	0	8	0	0	0	0	0	0
13:147589607-147598146:+	14	0	0	0	0	0	0	0	0	0	0
13:14768051-14774242:-	15	0	0	0	6	0	0	0	0	0	0
13:147798572-147807973:-	0	0	0	15	0	0	13	0	0	0	0
13:147798572-147839301:-	0	0	0	8	0	0	0	0	0	0	0
13:147814767-147839301:-	0	0	0	0	0	0	8	0	0	0	25
13:147817755-147839301:-	0	0	0	0	0	6	10	0	0	0	0
13:147837955-147839301:-	47	15	29	0	11	8	58	24	25	18	80
13:148110065-148168420:-	6	0	0	0	0	0	0	0	0	0	0
13:148124256-148168420:-	17	0	0	0	0	0	0	8	0	0	0
13:148143813-148168420:-	26	8	0	0	6	0	0	11	0	0	0
13:148143813-148177771:-	12	0	0	0	7	6	0	9	0	0	0
13:148150709-148168420:-	81	15	0	0	11	0	0	19	0	7	0
13:148164224-148168420:-	37	0	0	0	0	0	0	0	0	0	0
13:1484097-1507622:-	19	0	0	0	0	0	0	0	0	0	0
13:14841305-14851051:+	61	11	0	0	14	31	0	29	19	24	0
13:14841305-14877553:+	188	36	0	0	51	126	0	130	47	82	0
13:14841305-14893262:+	9	0	0	0	0	0	0	24	0	0	0
13:14841305-14911878:+	6	8	0	0	0	0	0	10	0	0	0
13:148496645-148499206:-	16	0	0	0	8	6	0	9	0	0	8
13:148496645-148534946:-	24	18	30	33	19	17	57	16	20	15	0
13:148510068-148534946:-	0	0	0	0	0	0	0	0	0	0	9
13:148517272-148534946:-	48	9	126	280	21	19	240	23	13	25	489
13:148522544-148534946:-	14	0	0	19	0	0	11	0	0	0	55
13:1489279-1494886:-	9	0	0	0	0	0	0	0	0	0	0
13:1489279-1507622:-	18	0	0	0	0	0	0	6	0	0	0
13:14909713-14922337:+	6	0	0	0	0	0	0	0	0	0	0
13:150438195-150457142:+	45	11	0	0	0	9	0	13	6	11	0
13:150438195-150490019:+	6	0	0	0	0	0	0	0	0	0	0
13:150481201-150490019:+	8	0	0	0	0	0	0	0	0	0	0
13:150509085-150517525:+	10	0	0	0	0	0	0	0	0	0	0
13:150533572-150539589:+	20	0	0	0	0	8	0	6	0	0	0
13:150800035-150847269:-	0	0	0	0	7	9	0	12	0	15	0
13:150854012-150878102:-	14	0	0	0	0	0	0	0	0	0	0
13:151307558-151329928:+	14	0	0	0	0	0	0	0	0	0	0
13:151781933-151818699:-	7	0	0	0	0	0	0	0	6	0	0
13:151797391-151818699:-	10	8	0	17	6	7	0	7	0	0	0
13:151811868-151818699:-	66	14	6	6	10	15	8	20	6	13	0
13:1529652-1540269:-	17	0	0	0	0	0	0	0	0	0	0
13:153578532-153611708:+	9	0	0	0	0	0	0	0	0	0	0
13:153818740-153839132:-	0	0	6	0	0	0	6	0	0	0	0
13:157383000-157384870:-	10	0	0	0	0	0	0	0	0	0	0
13:157429170-157430724:+	6	0	0	0	0	0	0	0	0	0	0
13:157429170-157436827:+	0	12	0	0	0	0	0	11	0	0	16
13:157435410-157449706:+	0	0	0	7	0	0	0	0	0	0	34
13:157589372-157624210:+	0	0	0	0	0	0	0	0	0	0	28
13:157615687-157620327:+	17	0	0	0	0	0	0	0	0	0	0
13:157615687-157628266:+	26	9	0	0	7	7	0	16	17	0	0
13:157620145-157622950:+	17	0	0	0	0	0	0	0	0	0	0
13:157622607-157622950:+	9	0	0	0	0	0	0	0	0	0	0
13:157643776-157654099:+	0	0	0	6	0	0	0	0	0	0	0
13:157683718-157696297:+	7	0	0	0	0	0	0	0	0	0	0
13:157683718-157702233:+	21	8	6	12	0	0	7	0	0	0	0
13:158352079-158389405:-	0	0	0	0	0	0	6	0	0	0	0
13:158599500-158601951:+	7	0	0	0	0	0	0	0	0	0	0
13:158599500-158606537:+	0	0	0	0	8	0	0	0	0	0	0
13:158599500-158613577:+	7	0	0	0	6	0	0	0	0	0	0
13:158669693-158686017:-	16	0	0	0	0	0	0	7	0	0	0
13:158678055-158693886:-	9	0	0	0	0	0	0	0	0	0	0
13:158683518-158686017:-	28	0	0	0	6	10	0	6	0	0	0
13:158683518-158688234:-	6	0	0	0	0	0	0	0	0	0	0
13:158685846-158688234:-	20	0	0	0	0	6	0	0	0	0	0
13:158685846-158689748:-	7	0	0	13	0	0	0	0	0	0	0
13:160162184-160204381:-	0	0	0	9	0	0	0	0	0	0	0
13:160181593-160204381:-	0	0	0	0	0	0	8	0	0	0	0
13:162388402-162401582:-	16	0	0	0	0	0	0	12	0	6	0
13:162388402-162419055:-	9	0	0	0	0	0	0	0	0	0	0
13:162540259-162552422:-	107	8	0	0	13	12	0	26	6	11	0
13:16304441-16342479:+	74	0	0	0	13	16	0	0	15	19	0
13:16304441-16391438:+	7	0	0	0	0	7	0	6	0	0	0
13:165850548-165891486:-	22	32	0	0	30	27	0	23	25	11	0
13:165970470-165992011:+	6	0	0	0	0	0	0	7	0	0	0
13:166836890-166837551:-	20	0	0	0	0	0	0	0	0	0	0
13:167824034-167842322:-	45	6	0	6	7	7	0	11	0	9	0
13:167824034-167872465:-	20	0	0	0	0	0	0	0	0	0	0
13:16940724-16960769:-	53	16	0	0	9	8	0	7	0	7	0
13:17017301-17088925:-	7	0	0	0	0	0	0	0	0	0	0
13:173686826-173770537:+	0	0	0	28	0	0	0	0	0	0	0
13:173763339-173770537:+	0	0	0	9	0	0	0	0	0	0	0
13:1744415-1758690:+	0	0	0	0	0	0	6	0	0	0	0
13:17582875-17587193:+	139	35	8	47	20	31	8	40	26	22	62
13:17582875-17602712:+	50	0	0	0	12	6	0	8	0	6	0
13:17612079-17618646:+	25	10	0	0	0	0	0	0	0	0	0
13:17612079-17624635:+	18	0	0	0	0	0	0	11	0	0	0
13:177438128-177474540:-	0	0	0	0	0	0	7	0	0	0	0
13:179144017-179164126:-	7	0	0	0	0	0	0	0	0	0	0
13:179155645-179167607:-	6	0	0	0	0	0	0	0	0	6	0
13:179314545-179316673:-	19	0	0	0	0	0	0	0	0	0	0
13:180594654-180654566:+	8	0	0	0	0	0	0	0	0	0	0
13:180606798-180638334:+	13	0	0	0	10	0	0	0	0	0	0
13:180606798-180641372:+	28	0	0	0	7	0	0	8	0	0	0
13:180681779-180707905:+	0	0	0	15	0	0	0	0	0	0	0
13:184297012-184298151:+	12	0	0	0	0	0	0	0	0	0	0
13:18518411-18529971:-	0	0	0	6	0	0	0	0	0	0	0
13:18526604-18529971:-	11	0	0	14	0	6	0	0	0	7	0
13:18670724-18676623:+	36	6	0	0	0	10	0	7	0	7	0
13:189297185-189305963:+	7	0	0	0	0	0	0	0	0	0	21
13:189317681-189318261:+	27	0	0	0	0	0	0	10	6	0	0
13:189505178-189528484:-	0	0	0	0	0	0	0	0	0	0	17
13:189505178-189544139:-	0	0	0	0	0	0	0	0	0	0	11
13:189523365-189528484:-	6	0	0	0	0	0	0	0	0	0	0
13:19157208-19170984:+	6	0	0	0	0	0	0	0	0	0	0
13:192251884-192259123:+	39	0	0	0	0	7	0	6	0	0	0
13:19228139-19251022:-	8	0	0	0	0	0	0	0	0	0	0
13:19230685-19251022:-	0	0	0	0	0	0	0	7	0	0	0
13:192323654-192331214:-	6	0	0	0	0	0	0	0	0	0	0
13:192329285-192330052:-	0	7	0	0	0	0	0	0	0	0	0
13:192346235-192351974:-	0	0	0	0	0	0	6	0	0	0	0
13:192347602-192351974:-	11	0	0	0	0	0	0	0	0	0	0
13:192350346-192351974:-	8	6	0	0	0	0	0	0	0	0	0
13:192380630-192388178:+	23	0	0	0	0	0	0	6	0	0	0
13:192380630-192389616:+	6	0	0	0	0	0	0	0	0	0	0
13:192382946-192386740:+	9	0	0	0	0	0	0	0	0	0	0
13:192412912-192414157:-	9	0	0	0	0	0	0	0	0	0	0
13:19376545-19377740:-	6	0	0	0	0	0	0	0	0	0	0
13:19401275-19405826:-	10	0	0	0	0	0	0	0	0	0	0
13:19411773-19415099:-	6	0	0	0	0	0	0	0	0	0	0
13:19411773-19425923:-	7	0	0	0	0	0	0	0	0	0	0
13:19423240-19445381:-	6	0	0	0	0	0	0	0	0	0	0
13:19445234-19483077:-	6	0	0	0	0	0	0	0	0	0	0
13:19482979-19498912:-	8	0	0	0	0	0	0	0	0	0	0
13:194843737-194866747:-	10	0	0	0	0	0	0	0	0	0	0
13:195357996-195362080:-	6	0	0	0	0	0	0	0	0	0	0
13:195361318-195364404:-	29	8	0	0	7	11	7	12	0	13	0
13:195370475-195375057:-	17	0	0	0	0	0	0	0	0	0	36
13:195639064-195658865:+	7	0	0	0	0	0	0	0	0	0	0
13:19606760-19620366:+	7	0	0	0	0	0	0	0	0	0	0
13:196261412-196266209:-	10	0	0	0	0	0	0	0	0	0	0
13:196264001-196273952:-	50	0	0	0	8	10	0	10	0	10	0
13:196264681-196266209:-	22	0	0	0	0	0	0	0	0	0	0
13:196264681-196273952:-	6	0	0	0	0	0	0	0	0	6	0
13:196296301-196304003:-	17	0	0	0	0	0	0	0	0	0	0
13:196301981-196304003:-	15	0	0	0	0	0	0	0	0	0	0
13:19648664-19650634:+	13	0	0	0	0	6	0	0	0	0	0
13:197030437-197031113:+	12	0	0	0	0	0	0	0	0	0	0
13:197054744-197067577:-	10	0	0	0	0	0	0	6	0	9	0
13:197055404-197067577:-	13	0	0	0	0	0	0	0	0	0	0
13:197136057-197142966:-	0	0	0	12	0	0	0	0	0	0	0
13:197138887-197142966:-	13	6	0	0	0	0	0	0	0	0	21
13:197148770-197151492:-	12	0	0	0	0	0	0	0	0	0	0
13:197153998-197155841:-	34	0	0	0	6	0	0	9	0	0	55
13:197211694-197225536:-	18	0	0	0	0	0	0	0	0	0	0
13:197364155-197366251:+	0	0	0	0	0	0	7	0	0	0	0
13:197370541-197372023:+	0	0	0	0	0	0	0	0	0	0	7
13:199572678-199575466:-	7	0	0	0	0	0	0	0	0	0	0
13:200007333-200012649:+	17	0	0	0	0	0	0	0	0	0	0
13:200015259-200023406:+	0	0	0	18	0	0	0	0	0	0	0
13:200017892-200023406:+	15	7	0	0	0	0	0	0	0	0	0
13:200020687-200025874:+	25	7	0	0	0	0	0	0	0	0	0
13:200020687-200029646:+	15	0	0	0	0	0	0	0	0	0	0
13:200020687-200033821:+	0	0	0	0	0	0	6	0	0	0	0
13:200023301-200025874:+	7	0	0	0	0	0	0	0	0	0	0
13:200023301-200029646:+	7	0	0	0	0	0	0	0	0	0	0
13:200546425-200546697:-	7	0	0	0	0	0	0	0	0	0	0
13:200546425-200588242:-	6	7	0	0	0	0	0	0	0	0	0
13:200578706-200588242:-	6	0	0	0	0	0	0	0	0	0	0
13:200707865-200718953:+	8	0	0	0	0	0	0	0	0	0	0
13:200707865-200731785:+	44	28	0	11	15	10	23	14	21	11	0
13:200710375-200718953:+	6	0	0	0	0	0	0	0	0	0	0
13:200731730-200752458:+	8	0	0	0	0	0	0	0	0	0	0
13:200731730-200759988:+	8	8	0	26	9	0	0	7	0	0	0
13:200731730-200766047:+	0	0	0	0	6	0	0	0	0	0	0
13:200742412-200794263:+	0	0	0	7	0	0	0	0	0	0	0
13:200785697-200794263:+	0	6	0	0	0	0	0	0	0	0	0
13:201043325-201068601:+	214	36	0	0	41	43	11	38	15	15	7
13:201043325-201121879:+	14	0	0	0	0	7	0	6	0	0	0
13:201067068-201068601:+	114	25	0	0	17	33	0	47	22	19	0
13:201067068-201145228:+	0	0	0	0	6	0	0	0	0	0	0
13:201150894-201151813:+	6	0	0	0	0	0	0	0	0	0	0
13:202796616-202807630:-	33	12	0	0	7	6	0	9	0	8	0
13:202806711-202807630:-	44	7	0	0	10	0	0	17	8	8	0
13:202809349-202813718:-	9	7	0	0	0	0	0	0	0	0	0
13:202816276-202829578:-	0	0	0	0	6	0	0	0	0	0	0
13:202827127-202827455:-	31	6	0	0	0	0	0	7	9	8	0
13:202827127-202834983:-	11	0	0	0	0	0	0	0	0	0	0
13:202829388-202829578:-	14	0	0	0	0	0	0	9	0	0	0
13:202829388-202839624:-	15	0	0	0	0	0	0	0	0	0	0
13:202829388-202843990:-	10	0	0	0	0	0	0	0	0	0	0
13:202832487-202839624:-	7	0	0	0	0	0	0	0	0	0	0
13:202843806-202851505:-	7	0	0	0	0	0	0	0	0	0	0
13:202855454-202855936:-	17	0	0	0	0	0	0	0	0	0	0
13:202855454-202875571:-	7	0	0	0	0	0	0	0	6	0	0
13:202855454-202878755:-	0	0	0	10	0	0	0	0	0	0	0
13:202859234-202865302:-	10	0	0	0	0	0	0	0	0	0	0
13:202861275-202875571:-	11	0	0	0	0	0	0	0	0	0	0
13:202863731-202875571:-	7	0	0	0	0	0	0	0	0	0	0
13:202865201-202875571:-	21	0	0	0	0	8	0	17	6	0	0
13:202874106-202875571:-	31	0	0	0	0	0	0	0	0	0	0
13:202874106-202878755:-	25	0	0	6	0	0	6	12	0	0	0
13:202992645-203005758:-	7	0	0	0	0	0	0	0	0	0	0
13:203005620-203030451:-	18	13	0	0	20	16	0	28	16	18	0
13:203057196-203088031:+	0	0	0	0	0	0	0	6	0	0	0
13:203703612-203716345:-	9	0	0	0	0	0	0	0	0	0	0
