circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	pig-testis-Testis-31	pig-testis-Testis-73	cow-testis-adult-2	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	cow-liver-B005	pig-testis-Testis-54	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	pig-liver-old-2	cow-testis-adult-3	pig-testis-Testis-05	pig-testis-Testis-65	cow-liver-K006	cow-liver-K011	cow-liver-B008	pig-testis-Testis-16	cow-liver-B022	cow-liver-K013	cow-liver-B004	pig-liver-young-2	cow-liver-B027
11:49644541-49645382:+	0	7	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:49946051-49973427:-	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:50078607-50082898:-	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:50304206-50315872:-	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:50315640-50329427:-	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:50325132-50329427:-	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:50438900-50447634:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:50762619-50773425:-	0	0	0	32	23	0	9	12	22	0	20	0	0	0	0	0	22	0	21	14	0	0	0	20	0	0	0	38	0
11:51362513-51375641:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:51388869-51390018:-	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:51388869-51394378:-	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:5139143-5141161:-	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:51531488-51531654:+	0	0	0	19	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:51531488-51534900:+	0	0	0	32	12	0	12	18	11	0	14	0	0	0	0	0	26	0	9	8	0	0	0	0	0	0	0	16	0
11:51531488-51540684:+	0	0	0	46	25	0	32	60	10	0	12	0	0	0	0	0	48	0	17	15	0	0	0	8	0	0	0	256	0
11:51531488-51547197:+	0	0	0	16	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	15	0
11:51531488-51551593:+	0	0	0	18	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:51540590-51551593:+	0	0	0	22	0	0	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
11:51540590-51554792:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
11:534134-562934:-	0	0	0	36	35	0	21	29	16	0	26	0	0	0	0	0	43	0	36	16	0	0	0	18	0	0	0	0	0
11:543479-555980:-	0	0	0	18	8	0	0	0	8	0	0	0	0	0	0	0	0	0	6	7	0	0	0	6	0	0	0	0	0
11:543479-562934:-	0	0	0	155	48	0	32	21	36	0	49	0	0	0	0	0	59	0	66	43	0	0	0	64	0	0	0	53	0
11:5503064-5507316:+	0	0	0	325	100	0	8	10	80	0	91	0	0	0	0	0	41	0	115	83	0	0	0	67	0	0	0	0	0
11:5503064-5524214:+	0	0	0	57	26	0	11	0	18	0	11	0	0	0	0	0	8	0	19	14	0	0	0	14	0	0	0	9	0
11:5503064-5546751:+	0	0	0	69	27	0	0	0	23	0	19	0	0	0	0	0	10	0	24	19	0	0	0	19	0	0	0	0	0
11:552301-555980:-	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	10	0	11	0	0	0	0	6	0	0	0	0	0
11:552301-562934:-	0	0	0	111	34	0	44	14	41	0	36	0	0	0	0	0	93	0	43	21	0	0	0	40	0	0	0	27	0
11:5524052-5581004:+	0	0	0	17	8	0	0	0	9	0	12	0	0	0	0	0	0	0	9	8	0	0	0	6	0	0	0	0	0
11:555884-562934:-	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:5577246-5581004:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
11:5577246-5588249:+	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:5587550-5593953:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:5587550-5602241:+	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	13	0	0	0	0	10	0	0	0	0	0
11:562632-562934:-	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:5766387-5767129:-	0	0	0	20	8	0	9	0	0	0	8	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0
11:583671-587892:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:583671-604571:-	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:5932304-5933681:-	0	0	0	26	6	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	0	0
11:5932314-5933681:-	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:60010999-60056497:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:60038249-60056497:-	0	0	0	0	0	12	0	0	0	0	0	34	47	0	0	33	0	10	0	0	0	0	0	0	0	0	0	0	0
11:60167956-60176482:-	0	0	0	0	0	0	0	0	0	0	0	0	10	0	8	14	0	8	0	0	0	0	0	0	0	0	0	0	0
11:6028589-6039808:-	7	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:603752-604571:-	0	0	0	138	37	0	13	19	31	0	39	0	0	0	0	0	21	0	52	12	0	0	0	25	0	0	0	0	0
11:61186415-61186820:+	0	20	0	0	0	56	0	0	0	6	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	8
11:61329416-61332260:+	8	0	0	0	0	0	0	0	0	6	0	13	30	0	11	18	0	13	0	0	0	6	0	0	0	6	6	0	10
11:61439286-61497030:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:61479126-61497030:+	8	9	0	0	0	26	0	0	0	0	0	19	24	0	0	21	0	11	0	0	9	0	0	0	0	8	6	0	0
11:62308703-62309783:+	0	0	0	0	0	0	0	0	0	7	0	16	23	8	10	7	0	7	0	0	0	0	0	0	6	13	7	0	17
11:62390893-62396120:-	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
11:62390893-62423005:-	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:62408209-62411915:-	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:62408209-62423005:-	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
11:62413975-62419506:-	0	9	0	0	0	18	0	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	0
11:63700973-63712579:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
11:64100225-64117242:-	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:64100225-64133950:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
11:64100225-64138070:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0	0	0	0	0	0
11:64111449-64138070:-	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:64133758-64138070:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:64203941-64212307:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
11:64203941-64221188:-	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:64261141-64267916:-	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
11:65281606-65286894:+	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65315579-65329042:-	0	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
11:65315579-65332141:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65320233-65329042:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65335913-65351482:-	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
11:65343102-65351482:-	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65350898-65362520:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65359973-65375023:-	0	0	0	17	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65368100-65384151:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65396278-65415710:-	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
11:65402575-65422700:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65415559-65433739:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65422608-65433739:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65433639-65461257:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:65444992-65466992:-	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:6556533-6560872:-	0	0	0	42	11	0	0	0	8	0	7	0	0	0	0	0	0	0	16	7	0	0	0	8	0	0	0	0	0
11:6556533-6589136:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
11:6624298-6625147:+	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:662513-726395:+	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	14	0	0	0	0	6	0	0	0	0	0
11:66535743-66536519:+	0	0	0	22	0	0	6	12	20	0	10	0	0	0	0	0	20	0	8	7	0	0	0	11	0	0	0	12	0
11:66567354-66573186:-	0	0	0	0	0	7	0	0	0	0	0	0	11	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0
11:66610803-66613633:-	7	0	7	0	0	8	0	0	0	0	0	25	27	11	13	28	0	10	0	0	9	0	0	0	9	16	7	0	0
11:66880594-66898768:+	11	0	8	0	0	23	0	0	0	15	0	18	26	9	9	30	0	21	0	0	7	11	8	0	17	13	9	0	6
11:66880594-66907231:+	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	11	0	6	0	0	0	6	0	0	0	0	0	0	0
11:66880594-66929893:+	7	0	6	0	0	10	0	0	0	0	0	7	0	0	0	24	0	0	0	0	0	0	7	0	0	10	0	0	0
11:66891425-66898768:+	0	0	0	0	0	0	0	0	0	0	0	19	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:66891425-66907231:+	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:66891425-66929893:+	0	0	0	0	0	9	0	0	0	9	0	6	0	0	0	8	0	7	0	0	0	0	0	0	7	0	0	0	0
11:66907046-66929893:+	0	0	0	0	0	0	0	0	0	0	0	16	10	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
11:67045209-67047989:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:67216828-67217022:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
11:67409532-67411878:+	0	0	0	0	0	0	8	67	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
11:67409532-67431103:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
11:675688-676545:+	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
11:675688-683082:+	0	0	0	0	6	0	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:675688-686516:+	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
11:67711095-67721351:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
11:67730501-67735880:-	0	0	0	0	0	0	0	0	0	0	0	13	24	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
11:67748032-67756343:-	0	8	0	0	0	25	0	0	0	0	0	31	58	0	0	22	0	14	0	0	0	0	0	0	0	0	0	0	0
11:67767429-67777056:-	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:67767429-67782441:-	0	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0	0	0	0
11:67861461-67864941:-	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:67895180-67898460:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:68124889-68143607:+	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0
11:68146693-68151315:+	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	8	0	0	0	0	0	0	0
11:68173039-68181097:+	0	0	0	58	14	0	0	0	8	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
11:68187988-68197829:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
11:68187988-68221333:+	0	8	0	0	0	0	0	0	0	0	0	9	9	0	0	6	0	6	0	0	0	0	0	0	0	0	8	0	0
11:68190442-68197829:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:68431678-68436457:+	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:68431678-68441977:+	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:68450304-68454998:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
11:68450304-68463198:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:68458897-68463198:+	0	0	0	31	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0
11:68481909-68488931:-	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:685276-686516:+	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:68536967-68538568:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9
11:6895916-6905281:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	13	0	0	0	6
11:6897339-6905281:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6
11:6897339-6910897:+	9	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	7	0	9
11:69067103-69075317:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:69067103-69080842:+	0	0	0	31	0	0	0	30	0	0	6	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	0	0	0
11:69067103-69131726:+	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:69097871-69105996:+	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:69097871-69131726:+	0	0	0	25	6	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
11:69097871-69204455:+	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:69099359-69131726:+	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:69103630-69131726:+	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	0
11:69105920-69160671:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:69121333-69204455:+	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:69425724-69437037:-	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:69792526-69794145:-	0	0	0	26	19	0	0	0	6	0	0	0	0	0	0	0	0	0	25	6	0	0	0	12	0	0	0	0	0
11:7016915-7025772:-	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:70705969-70727068:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
11:70943249-70963881:-	0	6	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:70977636-70993232:-	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
11:70987492-70993232:-	0	0	0	0	0	0	0	0	0	0	0	17	13	0	0	12	0	0	0	0	0	0	0	0	0	6	0	0	0
11:710153-714610:+	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:71125628-71135931:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:71158812-71161675:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
11:712675-714610:+	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:713799-714610:+	0	0	0	12	7	0	7	0	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
11:713799-716256:+	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:713799-718039:+	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:713799-719582:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
11:713799-724858:+	0	0	0	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
11:71504920-71512719:-	8	0	6	0	0	7	0	0	0	0	0	12	12	0	7	13	0	0	0	0	0	9	0	0	8	0	8	0	10
11:716130-720256:+	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:72009531-72012370:-	0	6	0	0	0	12	0	0	0	0	0	11	14	0	0	11	0	8	0	0	0	0	0	0	0	0	0	0	0
11:72081955-72084564:-	8	0	0	0	0	0	0	0	0	8	0	0	6	0	13	8	0	0	0	0	0	6	0	0	0	0	8	0	0
11:72081955-72089850:-	0	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:72081955-72096854:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
11:72089655-72096854:-	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:73247358-73249928:-	22	0	25	0	0	0	0	0	0	16	0	0	0	36	29	0	0	0	0	0	6	24	23	0	23	36	10	0	30
11:73271391-73277159:+	6	0	8	0	0	0	0	0	0	0	0	13	8	0	6	9	0	0	0	0	7	8	8	0	0	15	6	0	17
11:73271391-73282285:+	7	0	7	0	0	10	0	0	0	0	0	22	7	0	0	9	0	7	0	0	8	6	6	0	0	10	0	0	0
11:73274420-73277159:+	9	0	7	0	0	0	0	0	0	0	0	0	7	12	0	11	0	0	0	0	0	0	6	0	0	9	10	0	14
11:73611306-73615181:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	7	0	0	0	0	0	7
11:73611306-73622159:+	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:73625523-73641182:+	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:7364149-7364613:+	0	21	0	0	0	6	0	0	0	0	0	20	9	0	0	46	0	22	0	0	0	0	0	0	0	0	0	0	0
11:73732480-73771521:+	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:73732480-73793032:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	7
11:73732480-73825927:+	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
11:73771435-73793032:+	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:7392325-7411872:+	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:73997993-74031402:+	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:74024636-74031402:+	0	0	0	0	0	0	0	0	0	0	0	12	13	7	0	25	0	0	0	0	0	0	0	0	0	6	0	0	0
11:7418704-7430956:+	0	0	0	21	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:74209708-74209992:-	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:74256034-74258629:-	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
11:74281602-74295573:+	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:74514837-74537152:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
11:74885058-74885664:+	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
11:74963176-74966081:-	0	0	0	0	0	0	0	0	0	9	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:75055206-75056583:-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
11:75055206-75072874:-	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:75107374-75114570:+	13	0	7	0	0	9	0	0	0	7	0	13	16	7	11	6	0	7	0	0	0	0	10	0	9	0	0	0	0
11:75107374-75118486:+	31	0	22	0	0	12	0	0	0	14	0	49	52	19	36	28	0	10	0	0	15	26	15	0	33	19	17	0	24
11:75107374-75155186:+	0	0	13	0	0	0	0	0	0	0	0	17	13	15	13	12	0	0	0	0	8	21	9	0	13	14	0	0	11
11:75107374-75162755:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	0	0	0	0	0	0	7
11:75107374-75175048:+	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	7	0	7	0	0	0	0	0	0	9	0	0	0	6
11:75107374-75207461:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
11:75189849-75207461:+	0	11	9	0	0	25	0	0	0	7	0	33	30	0	12	35	0	19	0	0	7	0	7	0	13	7	7	0	7
11:75197146-75207461:+	0	0	6	0	0	0	0	0	0	6	0	30	40	11	6	22	0	0	0	0	0	0	0	0	15	12	0	0	0
11:7578379-7587679:+	0	0	0	19	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:75862628-75912101:+	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:75989453-76038044:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
11:7689004-7695562:+	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:7689004-7699145:+	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:77337544-77352513:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:77475171-77484890:+	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11:77475171-77489240:+	0	0	0	67	14	0	10	0	23	0	13	0	0	0	0	0	0	0	29	7	0	0	0	15	0	0	0	18	0
