circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	pig-testis-Testis-31	pig-testis-Testis-73	cow-testis-adult-2	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	cow-liver-B005	pig-testis-Testis-54	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	pig-liver-old-2	cow-testis-adult-3	pig-testis-Testis-05	pig-testis-Testis-65	cow-liver-K006	cow-liver-K011	cow-liver-B008	pig-testis-Testis-16	cow-liver-B022	cow-liver-K013	cow-liver-B004	pig-liver-young-2	cow-liver-B027
10:10901929-10902783:-	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11114888-11125633:-	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11125506-11139918:-	7	0	11	0	0	0	0	0	0	0	0	74	85	7	19	41	0	6	0	0	6	7	10	0	12	14	0	0	0
10:11137610-11139918:-	9	0	0	0	0	0	0	0	0	10	0	31	47	0	10	35	0	0	0	0	0	0	11	0	11	11	0	0	9
10:11344910-11346876:-	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11446255-11451376:-	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11446255-11459646:-	0	0	0	16	0	0	0	0	9	0	6	0	0	0	0	0	0	0	12	7	0	0	0	6	0	0	0	0	0
10:11469820-11472476:+	0	0	0	9	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11624205-11634100:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6
10:11654268-11654794:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
10:11693302-11694808:+	0	0	0	18	8	0	0	0	6	0	0	0	0	0	0	0	14	0	11	7	0	0	0	0	0	0	0	0	0
10:11786018-11797794:-	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1189828-1211392:-	11	0	10	0	0	0	0	0	0	0	0	8	0	6	9	0	0	0	0	0	0	10	0	0	6	0	13	0	9
10:1205158-1226147:-	0	0	0	0	0	0	0	0	0	0	0	0	14	10	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12099325-12122529:-	0	6	0	0	0	0	0	0	0	0	0	25	34	6	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12106000-12122529:-	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12334934-12336447:-	0	0	0	0	0	0	0	0	0	0	0	22	34	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12343217-12344344:-	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12387507-12391944:-	11	0	7	0	0	7	0	0	0	0	0	8	11	13	9	11	0	0	0	0	0	8	0	0	6	9	0	0	0
10:12406620-12407807:-	0	0	0	0	0	17	0	0	0	0	0	10	8	0	0	10	0	12	0	0	0	0	0	0	0	0	0	0	0
10:12407368-12417836:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12471547-12477393:+	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12514888-12517071:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12567235-12567656:-	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12569271-12585515:-	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12585386-12586531:-	0	0	0	0	0	0	0	0	0	64	0	0	0	0	88	0	0	0	0	0	0	0	0	0	62	50	52	0	0
10:12595561-12602812:-	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12605494-12607535:-	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12624648-12652349:-	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12637343-12654451:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12643794-12647330:-	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12654333-12657277:-	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12738032-12744135:-	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12750130-12751993:+	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13072131-13089649:+	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13367105-13379495:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0
10:13395615-13399198:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13405790-13406459:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13410178-13411123:-	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
10:13491754-13527498:-	0	0	0	56	24	0	0	0	14	0	11	0	0	0	0	0	0	0	23	11	0	0	0	7	0	0	0	0	0
10:13782210-13785985:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
10:14049497-14050397:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14066623-14082877:-	0	0	6	0	0	0	0	0	0	0	0	44	29	0	16	14	0	0	0	0	0	9	0	0	14	7	0	0	0
10:14082048-14082877:-	79	11	30	0	0	13	0	0	0	36	0	116	148	35	80	62	0	18	0	0	41	57	33	0	81	37	46	0	67
10:14136880-14145886:-	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14217433-14218735:-	0	0	0	15	6	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14227777-14268754:+	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14263075-14268754:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
10:14774819-14794270:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
10:14786193-14794270:-	0	0	0	50	6	0	0	0	0	0	6	0	0	0	0	0	0	0	11	9	0	0	0	9	0	0	0	0	0
10:14826466-14850824:-	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14826466-14884976:-	0	0	0	25	0	0	0	0	6	0	7	0	0	0	0	0	0	0	12	0	0	0	0	8	0	0	0	0	0
10:14987668-15007316:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15051105-15053287:+	0	0	0	113	22	0	0	0	19	0	14	0	0	0	0	0	0	0	25	10	0	0	0	21	0	0	0	0	0
10:15051105-15056946:+	0	0	0	40	10	0	0	16	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
10:15051105-15063364:+	0	0	0	30	13	0	0	0	6	0	11	0	0	0	0	0	0	0	17	11	0	0	0	7	0	0	0	0	0
10:15054185-15056221:-	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:15056765-15063364:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15061268-15063364:+	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15061268-15070732:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15063247-15066662:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15068986-15070732:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15076107-15081536:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15083384-15085471:+	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15093186-15095653:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15095067-15095653:+	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15494693-15535937:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:16099024-16104580:-	0	0	0	0	9	0	0	0	6	0	11	0	0	0	0	0	0	0	8	6	0	0	0	10	0	0	0	0	0
10:16099024-16117793:-	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0	0	0	0
10:16201081-16216636:+	0	0	0	14	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	17	0
10:16222140-16239910:+	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:16271611-16274729:+	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:16290080-16296312:+	0	0	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
10:16345991-16348572:+	0	0	0	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
