circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	cow-testis-adult-2	cow-liver-B005	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	cow-testis-adult-3	cow-liver-K006	cow-liver-K011	cow-liver-B008	cow-liver-B022	cow-liver-K013	cow-liver-B004	cow-liver-B027
10:1641002-1705222:+	0	0	0	10	0	0	0	0	0	0	14	0	0	0	0	0	0	0
10:1641002-1734060:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1641002-1740470:+	0	0	0	14	0	0	0	0	0	0	12	0	0	0	0	0	0	0
10:1732623-1740470:+	0	12	0	42	0	0	9	0	0	0	23	0	0	0	0	0	0	0
10:1740348-1795444:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:17565409-17573560:-	0	0	0	0	0	12	9	0	0	6	0	0	0	0	0	0	0	0
10:18752256-18772464:-	0	12	0	0	0	6	9	0	0	7	11	0	0	0	0	0	0	0
10:18802525-18846210:-	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:18828812-18846210:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:18842844-18994673:-	0	0	0	6	0	11	16	0	0	7	7	0	0	0	0	0	0	0
10:19433313-19441358:+	13	0	0	0	0	7	6	7	10	7	0	6	0	8	0	0	6	9
10:19440704-19451131:+	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
10:19440704-19460825:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
10:19494073-19513580:+	0	0	0	7	0	8	0	0	0	7	0	0	0	0	0	0	0	0
10:19557374-19570026:-	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0
10:19961627-19974008:+	0	0	0	0	0	0	13	0	0	8	0	0	0	0	0	0	0	0
10:19961627-19988973:+	0	0	0	0	0	30	48	0	0	32	6	0	0	0	0	0	6	0
10:19961627-20032730:+	0	0	0	0	0	10	12	0	0	0	6	0	0	0	0	0	0	7
10:25796201-25797267:+	0	0	0	0	0	11	8	0	0	0	0	0	0	0	0	0	0	0
10:25905504-25908072:+	0	0	9	0	0	10	9	13	0	0	6	0	0	0	0	0	6	0
10:25905504-25908959:+	44	17	56	35	27	43	47	59	65	52	13	38	65	38	60	63	53	73
10:28372920-28375129:+	0	6	0	23	0	0	0	0	0	0	12	0	0	0	0	0	0	0
10:28372920-28381028:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:29731219-29738469:+	0	16	0	34	0	33	18	0	0	19	24	0	0	0	0	0	0	0
10:3304808-3305227:+	114	0	54	0	84	36	19	83	80	11	0	81	65	86	105	73	65	48
10:35246788-35247299:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:35367660-35391064:-	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0
10:35367660-35413213:-	0	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:35367660-35428745:-	0	6	0	11	0	0	0	0	0	0	9	0	0	0	0	0	0	0
10:35411672-35428745:-	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0
10:35604282-35615353:+	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
10:35611461-35615353:+	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
10:35636704-35641105:+	0	6	0	8	0	9	7	0	0	0	6	0	0	0	0	0	0	0
10:35825382-35839273:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:36600997-36601759:-	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:37102049-37104067:+	0	7	0	9	0	21	20	0	0	20	0	0	0	0	0	0	0	0
10:37102049-37115057:+	0	0	0	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0
10:37102049-37118951:+	0	10	0	0	0	19	20	0	0	28	0	0	0	0	0	0	0	0
10:37113198-37115057:+	7	0	0	9	0	12	10	9	0	18	0	0	0	7	0	0	0	8
10:37147733-37153108:+	0	8	0	0	0	15	11	0	0	10	6	0	0	0	0	0	0	0
10:37666479-37670990:+	0	8	0	0	0	11	9	0	0	17	9	0	0	0	0	0	0	8
10:37849994-37852008:+	0	0	0	0	0	10	10	0	0	10	0	0	0	0	0	0	0	0
10:37968687-37972380:+	0	0	0	0	0	12	8	0	0	14	0	0	0	0	0	0	0	0
10:38063151-38082869:-	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:38078482-38094204:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	6	0	0
10:38207858-38216018:-	7	0	8	0	8	0	0	0	9	0	0	15	6	0	9	10	0	8
10:38387970-38389637:+	22	0	7	0	0	0	0	0	12	0	0	6	8	10	6	0	9	6
10:3976098-4002394:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:4072826-4079033:-	0	0	0	0	9	19	20	6	10	17	0	6	0	10	7	0	6	9
10:4072826-4094248:-	0	0	0	0	7	9	14	0	0	8	0	0	6	0	0	0	8	0
10:4125589-4129320:-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
