circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	cow-testis-adult-2	cow-liver-B005	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	cow-testis-adult-3	cow-liver-K006	cow-liver-K011	cow-liver-B008	cow-liver-B022	cow-liver-K013	cow-liver-B004	cow-liver-B027
17:46749832-46761001:-	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:4760487-4785127:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
17:4760487-4786760:-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
17:4760487-4793930:-	0	9	0	19	0	21	34	0	0	26	10	0	0	0	0	0	0	0
17:4760487-4817286:-	0	0	0	8	0	9	0	0	0	7	0	0	0	0	0	0	0	0
17:4771653-4793930:-	0	0	0	0	0	18	40	0	0	19	0	0	7	8	0	0	9	0
17:4771653-4817286:-	0	0	0	11	0	18	10	0	0	18	6	0	6	0	6	0	0	0
17:4777987-4793930:-	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0
17:48192511-48202635:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
17:48231692-48259919:-	6	0	0	0	0	0	0	0	12	0	0	0	0	11	0	0	0	8
17:48251322-48266550:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
17:48317347-48322394:+	59	6	31	0	29	17	14	20	23	35	0	15	14	25	32	24	38	49
17:48317347-48323243:+	24	0	16	0	29	26	20	25	21	41	0	17	27	12	17	16	23	36
17:486432-487901:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6
17:486432-493986:+	0	0	14	0	8	11	0	7	9	21	0	13	6	0	8	6	16	8
17:48710539-48711428:-	0	0	0	0	0	11	22	0	0	19	0	0	0	0	0	0	0	0
17:50857561-50858777:+	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
17:50980983-50991581:+	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
17:50986165-50988872:+	0	0	0	0	0	11	10	0	0	9	0	0	0	0	0	7	0	0
17:50986165-50994447:+	0	0	0	0	0	6	15	0	6	0	0	0	0	0	0	7	0	0
17:50994280-51006790:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
17:51855301-51857119:-	0	10	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:51913570-51915017:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:51913570-51917957:-	0	0	0	11	0	0	0	0	0	0	6	0	0	0	0	0	0	0
17:51963037-51966775:-	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0
17:51963037-51967279:-	0	6	0	7	7	18	16	0	8	0	7	0	0	0	8	0	0	0
17:52008299-52013894:-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
17:52030843-52033400:-	0	0	0	0	0	7	10	0	0	0	0	0	0	0	0	0	0	8
17:52127504-52128508:+	0	8	0	7	0	15	12	0	0	24	7	0	0	0	0	6	0	9
17:521767-530458:+	7	0	0	0	9	8	0	10	0	0	0	0	0	0	7	0	8	0
17:52362451-52368867:+	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0
17:527477-530458:+	7	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	7
17:52951736-52959788:+	0	8	0	0	7	14	13	10	8	20	9	0	7	8	7	0	0	0
17:52953728-52959788:+	0	0	0	0	0	13	15	0	0	13	0	0	0	0	0	0	0	0
17:52953728-52962716:+	0	0	0	0	0	11	8	0	0	11	0	0	0	6	0	0	0	0
17:53132829-53144656:+	7	6	6	18	0	29	29	0	0	45	17	0	6	0	8	8	0	7
17:53141541-53149507:+	0	0	0	0	0	9	14	0	0	17	0	0	0	0	0	8	0	0
17:53367009-53372695:-	0	9	0	33	0	0	0	0	0	0	11	0	0	0	0	0	0	0
17:53401391-53411015:-	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:53462701-53464403:+	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	6	0	7
17:53520360-53520692:+	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0
17:53540320-53546660:-	0	0	0	0	0	7	10	0	0	8	0	0	6	0	0	0	0	0
17:53675524-53676008:+	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
17:53934589-53935396:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
17:54068684-54070197:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
17:54068684-54087452:+	0	0	0	6	7	19	25	0	0	0	11	0	0	0	0	0	0	0
17:54068684-54097960:+	0	7	0	24	0	8	9	0	0	9	22	0	0	0	0	0	0	0
17:54085928-54097960:+	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
17:54381581-54392279:+	0	0	0	6	0	0	6	0	0	6	0	0	0	0	0	0	0	0
17:54381581-54398417:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:54685658-54698226:+	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:55575861-55605222:+	0	99	0	227	0	0	0	0	0	0	168	0	0	0	0	0	0	0
17:55575861-55616347:+	0	23	0	43	0	0	0	0	0	0	42	0	0	0	0	0	0	0
17:55575861-55659983:+	0	0	0	7	0	0	0	0	0	0	8	0	0	0	0	0	0	0
17:55585313-55605222:+	0	0	0	26	0	0	0	0	0	0	23	0	0	0	0	0	0	0
17:55585313-55616347:+	0	26	0	63	0	0	0	0	0	0	49	0	0	0	0	0	0	0
17:55585313-55637667:+	0	0	0	15	0	0	0	0	0	0	15	0	0	0	0	0	0	0
17:55604114-55616347:+	0	0	0	14	0	0	0	0	0	0	7	0	0	0	0	0	0	0
17:55604114-55637667:+	0	10	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:55614496-55616347:+	0	8	0	14	0	8	0	0	0	10	22	0	0	0	0	0	0	0
17:55614496-55637667:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:56857620-56860175:-	0	0	0	0	0	0	0	0	0	6	7	0	7	0	0	0	6	0
17:57036591-57052038:+	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:57138242-57141004:+	8	10	0	9	8	19	30	0	0	52	10	0	0	0	0	8	0	0
17:58065163-58068476:-	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0
17:58065163-58123816:-	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	0	0
17:58092152-58108779:-	0	0	0	0	0	12	11	0	0	0	0	0	0	0	0	0	0	0
17:58092152-58123816:-	26	13	15	19	15	42	76	18	30	56	8	11	17	16	24	10	18	27
17:58104805-58123816:-	11	0	6	0	0	14	8	9	9	11	7	0	10	0	12	6	0	7
17:58642912-58767503:+	6	0	0	0	0	20	37	0	10	33	0	0	0	0	0	0	0	0
17:58860044-58868861:+	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
17:6037742-6040359:+	0	0	0	6	0	28	58	0	0	40	0	0	0	0	0	0	0	0
17:6037742-6041102:+	0	0	0	0	0	0	11	0	0	6	0	0	0	0	0	0	0	0
17:6117455-6120471:-	0	0	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0
17:61743971-61748722:-	0	12	0	0	0	13	22	0	0	11	6	0	0	0	0	0	6	6
17:6180473-6220503:-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:61965100-61965472:+	0	0	0	6	0	43	22	0	7	27	9	0	7	0	0	0	0	0
17:6198905-6199532:-	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
17:62077341-62081855:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
17:62091508-62093895:+	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
17:62274058-62279002:-	13	0	0	0	0	8	9	6	9	0	0	8	14	0	0	0	7	0
17:62274058-62279670:-	25	0	8	0	18	10	12	23	17	10	7	9	15	12	26	19	13	14
17:62574387-62576908:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:62806515-62810230:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
17:63038539-63040557:-	0	0	0	11	0	0	0	0	0	0	6	0	0	0	0	0	0	0
17:63672170-63674010:-	0	0	0	6	0	10	12	0	0	6	0	0	0	0	0	0	0	0
17:63686192-63692717:-	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
17:63868126-63868396:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:63880428-63883569:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:63988242-63989068:-	0	6	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0
17:64098867-64110269:-	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
17:64104066-64108076:-	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
17:64105758-64108076:-	34	0	10	0	8	0	0	20	14	0	0	17	19	12	16	11	8	21
17:64106877-64108076:-	26	0	9	0	18	0	0	14	18	0	0	17	7	18	20	15	14	25
17:66116277-66116939:-	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
17:6684892-6688297:+	0	0	0	0	9	0	0	0	6	0	0	0	6	0	0	0	8	7
17:669600-671624:+	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
17:67547766-67548274:-	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
17:67665003-67666328:-	0	0	0	0	0	0	11	0	0	8	0	0	0	0	0	0	0	0
17:67665003-67674848:-	0	0	0	0	0	0	14	0	0	12	6	0	0	0	0	0	0	0
17:68015072-68016763:+	12	14	16	7	14	68	91	17	10	59	10	7	27	8	12	12	13	13
17:682376-684222:+	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
17:6885802-6886339:+	0	0	0	0	0	8	7	0	0	6	0	0	0	0	0	0	0	0
17:69041512-69053452:+	0	9	0	0	0	6	7	0	0	9	0	0	0	0	6	0	0	0
17:69406717-69409516:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
17:6999247-7023196:+	0	9	0	6	0	0	13	0	0	0	9	0	0	0	0	0	0	0
17:70181887-70183635:+	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
17:70384655-70392230:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
17:70410562-70413159:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
17:7063206-7139103:+	0	0	0	6	0	0	0	0	0	6	10	0	0	0	0	0	0	0
17:7091032-7234802:+	0	0	0	6	0	0	11	0	0	8	0	0	0	0	0	0	0	0
17:71352244-71352710:+	0	0	0	0	0	6	0	0	0	9	0	0	0	0	0	0	0	0
17:71385904-71393247:+	0	18	0	31	0	0	0	0	0	0	18	0	0	0	0	0	0	0
17:7138936-7234802:+	0	0	0	15	0	0	6	6	0	0	10	0	0	0	0	0	0	0
17:71518121-71522438:-	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
17:71635830-71675160:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
17:71646918-71653934:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
17:71664841-71667643:-	0	0	0	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0
17:71664841-71675160:-	0	0	0	8	0	11	16	0	0	22	0	0	0	0	0	0	0	0
17:72033749-72040926:+	0	0	0	9	0	7	0	0	8	0	0	0	6	0	6	0	0	0
17:7224068-7234802:+	0	7	0	21	0	8	32	0	0	8	0	0	0	0	0	0	0	0
17:72297238-72297701:+	0	0	0	0	0	21	11	0	0	0	0	0	0	0	0	0	0	0
17:7232009-7234802:+	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0
17:7232009-7346061:+	0	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
17:7232009-7391497:+	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
17:7325739-7346061:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:7325739-7391497:+	0	0	0	7	0	0	0	0	0	0	11	0	0	0	0	0	0	0
17:7328041-7346061:+	0	0	0	0	0	0	12	0	0	9	0	0	0	0	0	0	0	0
17:7373850-7391497:+	0	0	0	7	0	0	9	0	0	0	0	0	0	0	0	0	0	0
17:7471789-7524847:+	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17:7512551-7524847:+	0	0	0	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0
17:7730208-7730540:-	0	0	0	0	0	9	12	0	0	17	0	0	0	0	0	0	0	0
18:12938354-12943802:-	0	0	0	0	0	0	0	0	6	0	0	0	8	0	8	7	0	0
18:13399321-13405618:+	0	0	0	12	0	9	23	0	0	22	0	0	0	0	0	0	0	0
18:14987458-14993804:-	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
18:15000157-15003117:-	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
18:15508667-15535240:-	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0
18:15508667-15538177:-	0	21	0	19	0	54	86	0	0	33	16	0	0	0	0	0	0	0
18:15640858-15643693:-	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
18:15640858-15712413:-	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18:15708289-15712413:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
18:15899757-15920794:+	16	6	13	0	27	7	20	17	8	16	0	8	6	18	21	10	21	10
18:15899757-15942680:+	12	0	0	18	13	12	48	0	0	25	12	0	0	0	9	0	10	14
18:15899757-15987969:+	0	0	0	6	0	6	11	0	0	14	0	0	0	0	0	0	0	0
18:15899757-16005672:+	0	0	0	6	0	0	8	0	0	0	0	0	0	0	0	0	0	0
18:16644722-16645169:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
18:16683804-16692435:+	13	0	13	0	9	9	6	8	10	0	0	9	12	6	11	20	9	19
18:16683804-16698597:+	0	0	0	0	7	0	0	18	13	0	0	0	0	0	0	10	0	9
18:16683804-16707348:+	18	8	8	12	19	0	9	55	23	9	0	12	24	14	17	38	17	22
18:16683804-16726407:+	12	0	18	0	16	0	0	48	29	0	0	12	13	20	18	20	15	33
18:16683804-16746158:+	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	14	0	0
18:16687309-16692435:+	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0
18:16687309-16698597:+	0	7	0	0	0	0	8	12	0	0	0	0	0	0	0	12	0	0
18:16687309-16717498:+	0	6	7	9	0	0	6	0	0	0	0	6	0	0	0	0	0	0
18:16707206-16726407:+	17	0	8	6	11	0	7	6	22	0	0	11	17	9	10	6	7	10
18:16717347-16726407:+	0	8	0	33	0	0	0	0	0	0	19	6	9	0	0	0	0	0
18:17995023-17996901:-	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
18:18626341-18631620:+	0	0	0	0	0	6	0	0	6	0	9	0	0	0	0	0	0	0
18:18731907-18733938:-	0	0	0	0	0	6	7	0	0	0	6	0	0	0	0	0	0	0
18:1893179-1896790:-	0	0	0	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0
18:19137683-19142182:+	0	13	0	50	0	0	0	0	0	0	12	0	0	0	0	0	0	0
18:19137683-19181235:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18:21647963-21649583:+	0	0	0	0	0	11	6	0	0	8	0	0	7	0	0	0	0	0
18:21707552-21709560:+	0	0	0	6	0	33	29	0	0	15	7	0	0	0	0	0	0	0
18:22217237-22277293:+	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
18:2265877-2284139:-	0	9	0	24	0	0	0	0	0	0	24	0	0	0	0	0	0	0
18:24221176-24231419:+	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
18:24237547-24239576:+	0	0	0	0	0	10	9	0	0	6	0	0	0	0	0	0	0	0
18:25185338-25198805:-	0	9	0	12	0	18	27	6	7	24	9	9	6	0	7	0	8	8
18:26328830-26347876:-	0	0	0	0	0	6	9	0	0	10	0	0	0	0	0	0	0	0
18:2707743-2720944:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
18:2707743-2723007:-	9	13	11	14	10	24	27	0	27	27	0	14	8	0	11	6	8	16
18:2720303-2723007:-	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	7
18:2906566-2907340:-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
18:34262432-34267481:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
18:34493831-34495216:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
18:34948059-34955533:+	0	8	0	41	0	0	0	0	0	0	30	0	0	0	0	0	0	0
18:34948059-34972714:+	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18:34948059-34978703:+	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0
18:35169392-35176882:+	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	9
18:35549221-35552259:+	0	6	0	8	0	7	21	0	0	15	0	0	0	0	0	0	0	0
18:35549221-35569573:+	17	25	32	15	22	67	82	25	27	98	14	21	21	19	17	20	25	18
18:35549221-35589056:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
18:36147447-36151409:+	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
18:36419825-36436937:+	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0
18:36844130-36852622:+	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0
18:39040163-39040890:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
18:40597325-40600843:+	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
18:42868738-42876157:+	0	6	0	15	15	19	7	11	0	18	0	0	0	8	15	0	0	6
18:42950062-42950905:+	14	28	0	13	12	44	54	0	18	64	25	9	0	16	15	0	11	8
18:43118279-43129442:-	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
18:43119297-43129442:-	10	0	0	0	6	0	0	0	0	0	0	0	0	6	8	0	0	6
18:43126982-43129442:-	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
18:43205514-43212930:+	0	0	0	19	0	0	0	0	0	0	13	0	0	0	0	0	0	0
18:43328298-43331059:-	0	0	0	0	0	14	0	0	0	9	0	0	0	0	0	6	0	0
18:43382423-43386937:-	0	0	0	7	0	0	14	0	0	0	0	0	0	0	0	0	0	0
18:44632232-44654584:+	0	0	0	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0
18:44652779-44654584:+	0	0	0	0	0	0	8	0	0	9	0	0	0	0	0	0	0	0
18:44753628-44757149:+	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
18:44769694-44770739:+	0	0	0	0	0	12	22	7	0	18	0	0	0	0	0	6	0	0
18:46511915-46516413:-	0	0	0	0	6	0	0	0	0	0	0	0	10	8	0	8	16	0
18:48553037-48553456:-	79	52	42	56	41	250	234	33	68	216	76	44	41	59	62	73	42	66
18:49964870-49966175:-	0	0	0	0	0	7	6	0	0	7	0	0	0	0	0	0	0	0
18:5246922-5251116:+	0	0	0	6	0	8	6	0	0	24	0	0	0	0	0	0	0	0
18:52870516-52871245:+	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6
18:53568918-53572292:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
18:53986752-53990629:+	0	0	0	6	0	0	0	0	0	0	10	0	0	0	0	0	0	0
18:53986752-54003358:+	0	15	0	23	0	0	0	0	0	0	19	0	0	0	0	0	0	0
18:54183329-54193193:+	18	32	9	67	17	41	37	12	16	34	55	11	13	19	12	0	10	22
18:54183329-54204953:+	6	28	0	31	0	8	13	0	0	11	18	8	6	0	0	9	0	0
18:55051332-55054402:-	0	0	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0
18:55793902-55797910:-	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
18:57427006-57430087:-	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
18:57756687-57767626:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
18:57764416-57767626:-	0	0	0	0	0	0	15	0	0	16	0	0	0	0	0	0	0	0
18:8378361-8381288:+	0	0	0	0	0	12	15	0	0	12	0	0	6	0	0	0	0	0
18:8378361-8391112:+	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	6	0
19:10547812-10559681:+	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0
19:10690605-10697844:+	0	0	0	0	0	6	8	0	0	0	0	0	0	6	0	0	6	0
19:10690605-10735392:+	0	15	0	7	0	10	11	0	0	9	6	0	0	0	0	0	0	11
19:11222889-11223600:+	0	7	0	18	0	16	15	0	0	11	0	0	0	0	0	0	0	6
19:11234508-11236557:+	0	6	0	0	0	0	6	0	0	8	7	0	0	0	0	0	0	0
19:11234508-11244809:+	0	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0
19:11234508-11293153:+	0	6	0	11	0	0	12	0	0	0	0	0	0	0	0	0	0	0
19:11236383-11293153:+	0	0	0	15	0	0	0	0	0	0	11	0	0	0	0	0	0	0
19:11281337-11293153:+	0	0	0	12	0	0	13	0	0	11	17	0	0	0	0	0	0	0
19:11281337-11315623:+	0	0	0	16	0	0	9	0	0	6	22	0	0	0	0	0	0	0
19:11281337-11350675:+	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0
19:11305892-11315623:+	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
19:12017101-12022320:-	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0
19:12017101-12114022:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19:12043603-12114022:-	0	6	0	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0
19:12070287-12114022:-	0	0	0	27	0	0	0	0	0	15	0	0	0	0	0	0	0	0
19:12132397-12150703:-	0	0	0	19	0	8	16	0	0	10	10	0	0	0	0	0	0	0
19:12467690-12474277:+	0	0	0	10	0	24	51	0	6	46	8	0	0	0	8	0	0	0
19:12467690-12487220:+	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
19:12469988-12474277:+	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0
19:12683600-12691427:+	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
19:12724505-12734605:+	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0
19:12746224-12752610:+	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0
19:13355170-13359442:+	0	0	7	0	0	0	0	0	0	0	0	11	6	0	6	0	0	12
19:13582235-13598204:-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19:13913375-13914505:-	0	0	0	6	0	20	28	0	0	12	0	0	0	0	0	0	0	6
19:13913375-13917702:-	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
19:14249526-14249628:+	0	0	10	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
19:14561602-14565913:-	8	0	0	0	0	0	0	0	6	0	0	9	0	0	9	0	0	0
19:14684728-14728054:-	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
19:14707882-14728054:-	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
19:14740482-14751905:-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
19:15087798-15088832:-	0	26	8	79	6	22	29	0	11	25	42	0	6	6	0	0	0	7
19:15087798-15090619:-	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
19:15095376-15095924:-	0	0	0	9	0	0	0	0	0	0	6	0	0	0	0	0	0	0
19:15132429-15136666:+	0	10	0	26	0	0	0	0	0	0	24	0	0	0	0	0	0	0
19:15132429-15144754:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19:18122372-18126612:+	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	0
19:18122372-18129559:+	9	0	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0
19:18165810-18169730:-	21	44	17	32	15	43	45	20	25	35	47	14	12	9	21	12	10	24
19:18232120-18234706:+	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0
19:18235672-18243090:+	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
19:18239295-18243090:+	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19:18775551-18817630:-	8	0	0	0	0	0	0	0	0	6	0	0	9	0	0	0	7	8
19:18797488-18817630:-	11	6	0	0	6	25	19	0	24	25	9	7	15	8	6	10	10	8
19:18805009-18817630:-	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
19:18810902-18817630:-	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19:18994534-18996018:+	0	0	0	9	0	24	13	0	0	13	11	0	0	0	0	0	0	0
19:19719407-19762167:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
19:20125118-20127287:+	0	0	0	12	0	7	7	0	0	6	0	0	0	0	0	0	0	0
19:20746530-20777747:+	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
19:21275683-21279896:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
19:21277644-21279896:+	0	0	0	6	0	6	6	0	0	0	7	0	0	0	0	0	0	0
19:21278741-21279896:+	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0
19:21503213-21515221:+	0	0	0	0	0	7	10	0	0	7	10	0	0	0	0	0	0	0
19:21545044-21551690:+	0	0	0	0	0	0	6	0	0	10	0	0	0	0	0	0	0	0
19:21551151-21551690:+	13	0	0	0	0	0	0	9	13	0	0	0	8	0	6	9	0	17
19:22154207-22159007:+	0	0	0	9	0	12	20	0	10	0	15	0	6	0	6	7	0	0
19:22835466-22836903:+	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
19:22904284-22906928:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
19:23098441-23102470:-	0	0	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0
19:23262837-23263541:-	0	6	0	14	0	11	0	0	0	13	12	0	0	0	0	0	0	0
19:23410335-23422710:-	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
19:23410335-23437635:-	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
19:23544105-23564818:+	0	0	0	0	0	7	8	0	0	10	6	0	0	0	0	0	0	0
19:24343119-24352956:+	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
19:24696743-24698658:-	0	0	0	19	0	33	12	0	0	11	11	0	0	0	0	0	0	0
19:24808800-24824880:-	6	0	0	0	0	12	10	0	0	10	0	6	0	0	7	0	0	0
19:25141896-25143002:-	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
19:25157921-25158534:-	0	0	0	0	0	9	6	0	0	10	0	0	0	0	0	0	0	0
19:25244079-25252827:+	6	0	8	0	13	0	0	8	11	0	8	0	0	7	7	8	8	7
