circRNA	pig-liver-young-1	pig-liver-old1	pig-testis-5	cow-liver-K001	cow-testis-adult2	cow-testis-neonat1	cow-liver-K006	pig-testis-54	cow-liver-B004	cow-liver-K013	pig-testis-31	cow-liver-B028	cow-liver-K018	pig-liver-old2	cow-testis-neonat3	cow-liver-B005	cow-liver-B022	cow-liver-K024	cow-liver-B008	cow-liver-K011	cow-testis-adult1	pig-liver-young-2	cow-liver-B027	cow-testis-neonat2	cow-testis-adult3
26:35031342-35061138:-	0	0	0	0	0	0	0	0	9	13	0	18	9	0	10	9	10	0	10	8	0	0	11	7	0
26:35573266-35586670:+	0	0	0	0	0	80	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	75	0
26:35573266-35606676:+	0	0	0	0	0	28	0	0	0	0	0	0	0	0	25	0	0	0	0	0	6	0	0	19	0
26:35825952-35835075:+	0	0	0	0	0	13	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	9	0
26:38312113-38313732:-	0	0	0	0	41	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	12	0	0	0	48
26:38993388-38994721:-	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10
26:41505952-41529843:-	0	0	0	19	7	19	29	0	21	34	0	46	20	0	21	29	44	41	32	29	28	0	40	23	6
26:44499638-44500489:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
26:44522739-44533612:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
26:46448482-46462019:+	0	0	0	6	0	22	0	0	6	0	0	0	10	0	22	0	10	10	0	6	0	0	0	35	0
26:46830422-46860043:+	0	0	0	0	0	8	0	0	0	0	0	0	0	0	11	0	0	0	0	7	0	0	0	9	0
26:50166429-50169263:-	0	0	0	11	0	0	9	0	9	10	0	12	21	0	0	8	20	35	18	18	0	0	7	0	0
26:786533-801014:+	0	0	0	36	63	245	13	0	42	27	0	78	25	0	235	16	42	39	24	27	73	0	53	173	66
27:15553908-15563869:+	0	0	0	34	11	18	50	0	56	50	0	67	60	0	28	52	50	67	55	58	7	0	70	27	10
27:15553908-15581625:+	0	0	0	25	0	0	34	0	22	24	0	16	30	0	0	20	29	47	20	39	0	0	34	0	0
27:20129905-20147533:-	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27:20133260-20147533:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
27:21439443-21482421:-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
27:21455092-21482421:-	0	0	0	0	7	9	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
27:25599323-25601423:+	0	0	0	0	12	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
27:26726149-26737987:-	0	0	0	0	6	24	7	0	11	7	0	0	0	0	32	0	0	0	0	0	10	0	7	14	6
27:26736157-26737987:-	0	0	0	0	10	9	0	0	11	0	0	0	0	0	20	6	8	0	0	0	10	0	6	12	6
27:27183682-27199545:+	0	0	0	8	0	7	6	0	0	6	0	11	9	0	11	0	7	17	10	0	0	0	11	0	0
27:33133859-33134299:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
27:34256708-34273712:+	0	0	0	0	14	22	0	0	0	0	0	0	0	0	10	0	0	0	0	0	7	0	0	7	11
27:34488225-34536215:+	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27:38597090-38642613:+	0	0	0	0	0	0	6	0	7	9	0	17	16	0	0	11	11	8	7	0	0	0	11	0	0
27:38712337-38717082:+	0	0	0	18	6	25	19	0	27	21	0	22	14	0	22	23	28	41	15	27	0	0	22	22	6
27:38712337-38734619:+	0	0	0	32	48	19	25	0	34	31	0	58	26	0	23	27	33	30	31	35	21	0	53	28	28
27:5825805-5838762:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0
28:15781789-15790318:-	0	0	0	32	11	16	19	0	23	18	0	43	19	0	9	23	26	41	42	36	6	0	32	10	0
28:15781789-15813286:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0
28:24498856-24532463:-	0	0	0	10	28	90	8	0	13	11	0	16	9	0	63	13	12	0	7	7	28	0	9	44	33
28:24511717-24532463:-	0	0	0	17	39	186	25	0	31	30	0	34	25	0	122	25	24	20	13	24	33	0	35	134	28
28:25058029-25075045:+	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
28:28207956-28242745:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
28:28212612-28242745:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
28:28429796-28528928:-	0	0	0	0	19	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	8	0	0	10	17
