sample	sample_unit	species	mapdir
cow-testis-neonat1	SRR7175531	cow	/work2/genphyse/dynagen/tfaraut/CircRNA/mapping/bos_taurus/testis/star/mapping/SRR7175531
cow-testis-neonat2	SRR7175526	cow	/work2/genphyse/dynagen/tfaraut/CircRNA/mapping/bos_taurus/testis/star/mapping/SRR7175526
cow-testis-neonat3	SRR7175527	cow	/work2/genphyse/dynagen/tfaraut/CircRNA/mapping/bos_taurus/testis/star/mapping/SRR7175527
