circRNA	pig-liver-young-1	pig-liver-old1	pig-testis-5	cow-liver-K001	cow-testis-adult2	cow-testis-neonat1	cow-liver-K006	pig-testis-54	cow-liver-B004	cow-liver-K013	pig-testis-31	cow-liver-B028	cow-liver-K018	pig-liver-old2	cow-testis-neonat3	cow-liver-B005	cow-liver-B022	cow-liver-K024	cow-liver-B008	cow-liver-K011	cow-testis-adult1	pig-liver-young-2	cow-liver-B027	cow-testis-neonat2	cow-testis-adult3
23:50364213-50369452:+	0	0	0	11	0	19	29	0	10	15	0	16	38	0	7	19	13	16	17	12	0	0	9	9	0
23:51258172-51265552:+	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
23:51263942-51265552:+	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
23:6344289-6348026:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	6	0	0
23:7190981-7192294:+	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
23:756830-791214:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
23:8041439-8043301:+	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23:8041439-8046560:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
23:8655933-8696733:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
23:8696535-8702462:-	0	0	0	71	40	242	75	0	60	102	0	117	93	0	169	69	86	123	67	115	19	0	103	158	44
23:8759679-8759936:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
23:8831060-8832195:+	0	0	0	28	8	32	24	0	18	20	0	30	27	0	26	26	13	34	18	30	9	0	30	17	18
23:8977743-8989539:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
23:9593888-9595092:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
23:9879535-9879601:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
23:9887955-9888321:-	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	9
23:9893916-9896304:-	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23:9893916-9908925:-	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
24:1000109-1015449:-	0	0	0	0	32	84	0	0	0	0	0	0	0	0	52	0	0	0	0	0	19	0	0	56	28
24:10844047-10846751:-	0	0	0	0	0	26	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	14	0
