circRNA	pig-liver-young-1	pig-liver-old1	pig-testis-5	cow-liver-K001	cow-testis-adult2	cow-testis-neonat1	cow-liver-K006	pig-testis-54	cow-liver-B004	cow-liver-K013	pig-testis-31	cow-liver-B028	cow-liver-K018	pig-liver-old2	cow-testis-neonat3	cow-liver-B005	cow-liver-B022	cow-liver-K024	cow-liver-B008	cow-liver-K011	cow-testis-adult1	pig-liver-young-2	cow-liver-B027	cow-testis-neonat2	cow-testis-adult3
10:100125353-100134060:+	0	0	0	13	16	11	6	0	9	11	0	7	8	0	15	0	0	8	0	7	14	0	0	16	26
10:100133932-100149042:+	0	0	0	0	14	36	0	0	0	0	0	0	0	0	19	0	0	0	0	0	6	0	0	14	0
10:100144291-100149042:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
10:100242504-100242882:-	0	0	0	0	0	16	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	18	0
10:1002479-1006011:-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:100263972-100270938:+	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100334116-100343371:-	0	0	0	0	8	6	0	0	0	0	0	0	0	0	14	0	0	0	0	0	7	0	0	6	7
10:100342335-100343371:-	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100342335-100381292:-	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100348942-100361665:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	11	0	0	0	0
10:100348942-100365495:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0
10:100361523-100384844:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:10075612-10128008:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:100857511-101090112:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
10:100961026-101090112:-	0	0	0	6	0	15	7	0	12	44	0	7	17	0	19	20	11	34	13	20	0	0	12	14	0
10:10100682-10133100:-	0	0	0	0	0	0	7	0	0	10	0	8	6	0	0	0	7	9	6	0	0	0	12	0	0
10:10100682-10133104:-	0	0	0	27	0	0	21	0	21	24	0	37	15	0	0	13	32	33	17	39	0	0	23	0	0
10:101029086-101090112:-	0	0	0	9	0	23	7	0	0	58	0	11	18	0	27	10	10	26	7	16	0	0	19	37	0
10:10107523-10133104:-	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10:101089555-101090112:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:101238996-101243081:-	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10127370-10127500:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
10:10163984-10170555:+	18	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:101640027-101691018:+	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10169064-10170555:+	0	10	0	0	0	0	0	0	0	0	12	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:10187705-10188323:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
10:10189701-10190012:+	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10194715-10207599:+	26	25	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
10:10201830-10207599:+	0	10	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
10:102249593-102267488:-	0	0	0	0	0	11	0	0	0	6	0	10	7	0	9	0	0	0	0	8	0	0	0	0	0
10:102392755-102398058:-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1024544-1031793:-	0	0	0	0	14	45	6	0	10	22	0	11	15	0	33	0	8	6	12	12	0	0	15	51	15
10:102521000-102562399:-	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
10:102559386-102562399:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:102559386-102609979:-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:102588282-102609979:-	0	0	0	0	15	52	0	0	0	0	0	0	0	0	35	0	0	0	0	0	8	0	0	34	11
10:102588282-102659954:-	0	0	0	0	0	11	0	0	6	0	0	0	0	0	15	0	0	0	0	0	6	0	0	0	0
10:103020811-103023665:-	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
10:103045333-103048492:-	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10348947-10357470:+	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:10348947-10365595:+	0	0	0	0	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
10:10356623-10357470:+	0	0	0	0	28	21	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	8	12
10:10431476-10436315:-	0	0	0	0	0	9	0	0	0	0	0	8	0	0	13	0	6	7	0	0	0	0	0	12	0
10:10431476-10499191:-	0	0	0	0	12	79	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	28	8
10:10480143-10499191:-	0	0	0	16	67	187	19	0	26	15	0	25	30	0	138	16	19	29	9	22	70	0	23	119	72
10:10488329-10499191:-	0	0	0	0	0	26	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	7
10:10618644-10619035:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	18	0
10:10618644-10622737:+	0	0	0	11	56	133	26	0	33	34	0	22	41	0	149	23	20	38	25	33	56	0	24	170	67
10:10618644-10626139:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
10:10637914-10657947:+	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10657810-10669511:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:10901929-10902783:-	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11114888-11125633:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	26	0	0	0	0	0	7	0	0	0	0
10:11125506-11139918:-	0	0	0	11	0	85	6	0	0	14	0	19	7	0	41	0	12	7	10	7	0	0	0	74	6
10:11137610-11139918:-	0	0	0	0	0	47	0	0	0	11	0	10	0	0	35	10	11	9	11	0	0	0	9	31	0
10:11233997-11249675:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11344910-11346876:-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11387478-11388225:+	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11396560-11396975:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
10:11425121-11426929:+	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11446255-11451376:-	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11446255-11459646:-	0	0	12	0	0	0	0	6	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:11469820-11472476:+	13	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1150649-1150747:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
10:11603221-11654794:+	0	0	8	0	0	0	0	6	0	0	11	0	0	17	0	0	0	0	0	0	0	0	0	0	0
10:11624205-11634100:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0
10:11654268-11654794:+	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
10:11693302-11694808:+	0	0	11	0	0	0	0	0	0	0	18	0	0	14	0	0	0	0	0	0	0	0	0	0	0
10:11786018-11797794:-	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1189828-1211392:-	0	0	0	10	0	0	0	0	13	0	0	9	6	0	0	0	6	11	0	10	0	0	9	8	0
10:1205158-1226147:-	0	0	0	0	0	14	0	0	0	0	0	8	10	0	9	0	0	0	0	0	0	0	0	0	0
10:12099325-12122529:-	0	0	0	0	0	34	0	0	0	0	0	0	6	0	24	0	0	0	0	0	6	0	0	25	0
10:12106000-12122529:-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
10:1226094-1286096:+	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1226108-1286096:+	0	0	45	0	0	0	0	42	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1226108-1361748:+	0	0	6	0	0	0	0	6	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1226108-1373775:+	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1226108-1457127:+	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1231129-1231529:-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12334934-12336447:-	0	0	0	0	0	34	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	22	0
10:12341859-12344344:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12343217-12344344:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12387507-12391944:-	0	0	0	7	7	11	0	0	0	9	0	9	13	0	11	0	6	11	0	8	0	0	0	8	0
10:12406620-12407807:-	0	0	0	0	17	8	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	10	12
10:12407368-12417836:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12407368-12422198:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
10:12456564-12458753:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
10:12471547-12477393:+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12472819-12474809:+	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12489184-12489651:+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12510203-12510591:-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12514888-12517071:-	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12547678-12551049:+	51	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	56	0	0	0
10:12567235-12567656:-	0	0	0	0	0	16	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:12569271-12585515:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:12585386-12586531:-	0	0	0	0	0	0	0	0	52	50	0	88	0	0	0	64	62	0	0	0	0	0	0	0	0
10:12595561-12602812:-	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12605494-12607535:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:12607744-12631297:-	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12618028-12638827:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
10:12624648-12652349:-	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12633780-12638827:-	0	0	0	9	0	56	12	0	16	18	0	14	19	0	57	14	14	31	15	18	11	0	20	50	9
10:12633780-12648631:-	0	0	0	0	0	29	12	0	13	0	0	12	8	0	27	13	11	16	14	9	0	0	0	13	0
10:12633780-12650242:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0
10:12637343-12654451:-	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12638495-12638827:-	0	0	0	0	10	59	0	0	0	0	0	9	0	0	57	0	0	0	0	0	12	0	0	47	13
10:12643794-12647330:-	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12654333-12657277:-	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12716358-12716852:-	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12738032-12744135:-	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12750130-12751993:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0
10:12766826-12766947:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:12819579-12821213:+	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13072131-13089649:+	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13072131-13109186:+	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13104911-13117381:+	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13117318-13129636:+	0	0	8	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13190218-13194862:+	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13227619-13252656:+	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13236052-13237626:-	0	0	0	6	0	18	0	0	0	0	0	0	0	0	14	0	0	0	0	6	0	0	0	10	0
10:13357488-13357599:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
10:13357562-13357598:-	0	0	0	14	0	0	0	0	6	6	0	16	0	0	0	0	0	0	9	10	0	0	11	0	0
10:13357571-13357607:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13357638-13357692:-	0	0	0	0	0	14	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	12	0
10:13357660-13357705:-	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	8	0	0
10:13357668-13357713:-	0	0	0	21	0	0	15	0	10	17	0	15	23	0	0	13	7	20	26	16	0	0	26	0	0
10:13367105-13379495:+	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
10:13395615-13399198:-	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13405790-13406459:-	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13410178-13411123:-	0	0	9	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13449298-13454134:-	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13491754-13527498:-	0	0	23	0	0	0	0	11	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13491754-13584348:-	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13516187-13527498:-	0	0	6	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13516187-13584348:-	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13691575-13707737:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
10:1371844-1373775:+	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:13782210-13785985:-	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:14049497-14050397:-	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14066623-14082877:-	0	0	0	6	0	29	0	0	0	7	0	16	0	0	14	0	14	0	0	9	0	0	0	44	0
10:14082048-14082877:-	0	0	0	30	13	148	41	0	46	37	0	80	35	0	62	36	81	79	33	57	11	0	67	116	18
10:14136880-14145886:-	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14217433-14218735:-	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14227777-14268754:+	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14263075-14268754:+	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
10:14696861-14719534:-	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14754767-14765212:-	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14774819-14794270:-	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
10:14786193-14794270:-	0	0	11	0	0	0	0	6	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14807078-14859342:-	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14826466-14850824:-	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14826466-14859342:-	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14826466-14884976:-	0	0	12	0	0	0	0	7	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14841616-14859342:-	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14841616-14884976:-	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:14987668-15007316:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:15051105-15053287:+	0	0	25	0	0	0	0	14	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15051105-15056946:+	16	0	0	0	0	0	0	8	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15051105-15063364:+	0	0	17	0	0	0	0	11	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15054185-15056221:-	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
10:15056765-15063364:+	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15061268-15063364:+	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:15061268-15070732:+	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
