gene_id	ssc_liver_1	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_liver_10	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9	ssc_testis_10
ENSSSCG00000041052	0.0	0.0	12.0	0.0	5.0	3.0	1.0	0.0	1.0	6.02	0.0	1.0	1.0	2.0	3.01	9.07	10.08	2.01	6.03	4.01	6.02	19.0	7.0	8.0
ENSSSCG00000041053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	5.0	4.0	3.0	4.0	0.0	0.0
ENSSSCG00000041054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.0	288.0	232.0	172.0	232.0	259.0	176.0	295.0	212.0	38.0
ENSSSCG00000041055	2.0	0.0	0.0	0.0	5.0	5.0	1.0	0.0	0.0	0.0	6.0	3.0	3.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	2.0	2.0
ENSSSCG00000041057	2.0	14.0	8.0	16.0	160.0	138.0	148.0	37.0	117.0	49.0	15.0	131.0	109.0	176.0	0.0	5.0	2.0	0.0	1.0	2.0	5.0	22.0	7.0	11.0
ENSSSCG00000041058	4.0	3.0	0.0	0.0	5.0	2.0	33.0	6.0	11.0	1.0	7.0	30.0	49.0	38.0	2.0	6.0	5.0	13.0	15.0	9.0	7.0	31.0	6.0	51.0
ENSSSCG00000041059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	3.0	0.0	3.0	8.0	2.0
ENSSSCG00000041060	0.0	0.0	14.0	0.0	1.0	3.0	1.0	0.0	4.0	1.0	0.0	0.0	0.0	1.0	1.0	5.0	3.0	3.0	6.0	8.26	7.33	17.21	10.0	7.0
ENSSSCG00000041061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.04	128.71	95.41	175.8	149.1	127.59	166.6	47.94	19.38	39.47
ENSSSCG00000041062	2.0	0.0	0.0	0.0	4.0	4.0	6.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	3.0	3.0	5.0	3.0	4.0	2.0	6.0	13.0	2.0	22.0
ENSSSCG00000041063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	0.0	2.0	1.0	0.0	11.0	35.0	23.0	11.0	27.0	18.0	18.0	0.0	0.0	0.0
