gene_id	ssc_liver_1	ssc_liver_10	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_10	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9
ENSSSCG00000027444	3.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	63.0	0.0	20.0	13.0	9.0	1.0	10.0	12.0	3.0	1.0
ENSSSCG00000027457	59.0	8.0	21.0	93.0	45.0	13.0	6.0	30.0	8.0	16.0	1.0	31.0	33.0	49.0	159.0	50.0	85.0	64.0	53.0	63.0	82.0	69.0	17.0	23.0
ENSSSCG00000027459	9.0	0.0	3.0	0.0	3.0	2.0	1.0	1.0	1.0	2.0	0.0	0.0	4.0	5.0	119.0	13.0	42.0	27.0	22.0	11.0	26.0	16.0	9.0	2.0
ENSSSCG00000027467	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	4.0	0.0	0.0	2.0	4.0	1.0	3.0
ENSSSCG00000027472	12.0	5.0	1.0	42.0	0.0	0.0	14.0	0.0	9.0	12.0	0.0	0.0	0.0	0.0	48.0	0.0	12.0	20.0	6.0	4.0	20.0	7.0	11.0	0.0
ENSSSCG00000027503	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	96.0	3.0	21.0	21.0	7.0	15.0	21.0	8.0	5.0	1.0
ENSSSCG00000027509	0.0	1.0	2.0	0.0	3.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	32.0	3.0	22.0	9.0	13.0	9.0	14.0	8.0	3.0	3.0
ENSSSCG00000027525	63.0	8.0	8.0	0.0	0.0	3.0	6.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0
ENSSSCG00000027529	1.0	2.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	25.0	19.0	7.0	6.0	12.0	3.0	6.0	3.0	5.0	4.0	13.0	9.0
ENSSSCG00000027551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	17.0	0.0	0.0	7.0	0.0	0.0	0.0	4.0	0.0	0.0
ENSSSCG00000027556	199.0	19.0	108.0	163.0	321.0	42.0	24.0	64.0	18.0	41.0	0.0	16.0	9.0	7.0	145.0	14.0	66.0	54.0	34.0	35.0	37.0	42.0	11.0	26.0
ENSSSCG00000027557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	15.0	8.0	7.0	8.0	8.0	13.0	5.0	5.0
ENSSSCG00000027571	19.0	4.0	10.0	0.0	0.0	1.0	2.0	3.0	2.0	7.0	0.0	0.0	4.0	7.0	70.0	7.0	36.0	46.0	28.0	31.0	47.0	37.0	6.0	17.0
ENSSSCG00000027587	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	138.0	35.0	198.0	131.0	127.0	69.0	72.0	105.0	53.0	72.0
ENSSSCG00000027594	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	7.0	0.0	4.0	4.0	4.0	0.0	0.0	0.0
ENSSSCG00000027608	8.0	0.0	2.0	16.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	5.0	1.0	4.0	1.0	4.0	2.0	1.0	3.0
ENSSSCG00000027613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	60.0	2.0	56.0	46.0	0.0	10.0	7.0	25.0	11.0	15.0	4.0	0.0	3.0
ENSSSCG00000027667	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	15.0	7.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	5.0	0.0
ENSSSCG00000027669	22.0	8.0	24.0	23.0	20.0	13.0	8.0	0.0	19.0	7.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	2.0	1.0	0.0	3.0	0.0	0.0	0.0
ENSSSCG00000027675	6.0	0.0	0.0	38.0	0.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0	4.0	3.0	5.0	3.0	0.0	1.0	1.0	0.0	0.0
ENSSSCG00000027681	7.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	7.0	7.0	4.0	7.0	5.0	5.0	0.0	6.0
